,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,14.19%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,99.79
4,52 Week Low 3,59.82
5,50-Day Moving Average 3,91.23
6,200-Day Moving Average 3,88.27
7,Avg Vol (3 month) 3,3.88M
8,Avg Vol (10 day) 3,4.27M
9,Shares Outstanding 5,738.58M
10,Float,736.12M
11,% Held by Insiders 1,0.52%
12,% Held by Institutions 1,88.99%
13,"Shares Short (Jun 14, 2020) 4",7.83M
14,"Short Ratio (Jun 14, 2020) 4",2.44
15,"Short % of Float (Jun 14, 2020) 4",1.20%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.06%
17,"Shares Short (prior month May 14, 2020) 4",8.19M
18,Forward Annual Dividend Rate 4,2.32
19,Forward Annual Dividend Yield 4,2.54%
20,Trailing Annual Dividend Rate 3,2.17
21,Trailing Annual Dividend Yield 3,2.37%
22,5 Year Average Dividend Yield 4,2.96
23,Payout Ratio 4,83.14%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 14, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,45.51%
31,Operating Margin (ttm),34.75%
32,Return on Assets (ttm),1.75%
33,Return on Equity (ttm),5.91%
34,Revenue (ttm),3.77B
35,Revenue Per Share (ttm),5.82
36,Quarterly Revenue Growth (yoy),28.70%
37,Gross Profit (ttm),2.61B
38,EBITDA,2.51B
39,Net Income Avi to Common (ttm),1.71B
40,Diluted EPS (ttm),2.62
41,Quarterly Earnings Growth (yoy),40.90%
42,Total Cash (mrq),807.98M
43,Total Cash Per Share (mrq),1.09
44,Total Debt (mrq),16.17B
45,Total Debt/Equity (mrq),43.98
46,Current Ratio (mrq),3.03
47,Book Value Per Share (mrq),43.58
48,Operating Cash Flow (ttm),2.45B
49,Levered Free Cash Flow (ttm),1.09B
