,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,-2.04%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,47.43
4,52 Week Low 3,22.01
5,50-Day Moving Average 3,37.47
6,200-Day Moving Average 3,38.61
7,Avg Vol (3 month) 3,1.32M
8,Avg Vol (10 day) 3,1.38M
9,Shares Outstanding 5,165.72M
10,Float,164.54M
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,90.89%
13,"Shares Short (Jun 14, 2020) 4",1.51M
14,"Short Ratio (Jun 14, 2020) 4",1.3
15,"Short % of Float (Jun 14, 2020) 4",1.03%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.91%
17,"Shares Short (prior month May 14, 2020) 4",2.27M
18,Forward Annual Dividend Rate 4,0.76
19,Forward Annual Dividend Yield 4,2.09%
20,Trailing Annual Dividend Rate 3,0.73
21,Trailing Annual Dividend Yield 3,2.00%
22,5 Year Average Dividend Yield 4,2.20
23,Payout Ratio 4,32.44%
24,Dividend Date 3,"Aug 06, 2020"
25,Ex-Dividend Date 4,"Jul 22, 2020"
26,Last Split Factor 2,1489:1000
27,Last Split Date 3,"Apr 30, 2018"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.66%
31,Operating Margin (ttm),15.67%
32,Return on Assets (ttm),6.62%
33,Return on Equity (ttm),20.30%
34,Revenue (ttm),2.98B
35,Revenue Per Share (ttm),17.68
36,Quarterly Revenue Growth (yoy),3.10%
37,Gross Profit (ttm),1.05B
38,EBITDA,545.6M
39,Net Income Avi to Common (ttm),382M
40,Diluted EPS (ttm),2.23
41,Quarterly Earnings Growth (yoy),41.70%
42,Total Cash (mrq),169.3M
43,Total Cash Per Share (mrq),1.02
44,Total Debt (mrq),1.53B
45,Total Debt/Equity (mrq),81.03
46,Current Ratio (mrq),1.96
47,Book Value Per Share (mrq),11.42
48,Operating Cash Flow (ttm),446.9M
49,Levered Free Cash Flow (ttm),294.86M
