,Attribute,Value
0,Beta (5Y Monthly),2.06
1,52-Week Change 3,-50.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,108.06
4,52 Week Low 3,28.40
5,50-Day Moving Average 3,49.09
6,200-Day Moving Average 3,66.70
7,Avg Vol (3 month) 3,2.16M
8,Avg Vol (10 day) 3,1.96M
9,Shares Outstanding 5,71.04M
10,Float,70.42M
11,% Held by Insiders 1,1.11%
12,% Held by Institutions 1,108.12%
13,"Shares Short (Jun 14, 2020) 4",4.06M
14,"Short Ratio (Jun 14, 2020) 4",1.65
15,"Short % of Float (Jun 14, 2020) 4",7.55%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.72%
17,"Shares Short (prior month May 14, 2020) 4",4.17M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.15
21,Trailing Annual Dividend Yield 3,0.32%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,1.34%
24,Dividend Date 3,"Mar 30, 2020"
25,Ex-Dividend Date 4,"Aug 28, 2019"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 09, 1991"
28,Fiscal Year Ends,"Feb 01, 2020"
29,Most Recent Quarter (mrq),"May 02, 2020"
30,Profit Margin,-8.56%
31,Operating Margin (ttm),2.56%
32,Return on Assets (ttm),1.11%
33,Return on Equity (ttm),-14.87%
34,Revenue (ttm),8.9B
35,Revenue Per Share (ttm),121.46
36,Quarterly Revenue Growth (yoy),-43.00%
37,Gross Profit (ttm),5.4B
38,EBITDA,555.5M
39,Net Income Avi to Common (ttm),-761.5M
40,Diluted EPS (ttm),-10.40
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),800.7M
43,Total Cash Per Share (mrq),11.27
44,Total Debt (mrq),5.11B
45,Total Debt/Equity (mrq),113.29
46,Current Ratio (mrq),1.37
47,Book Value Per Share (mrq),63.54
48,Operating Cash Flow (ttm),950.7M
49,Levered Free Cash Flow (ttm),540.01M
