,Attribute,Value
0,Beta (5Y Monthly),0.46
1,52-Week Change 3,-16.15%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,294.31
4,52 Week Low 3,157.32
5,50-Day Moving Average 3,202.01
6,200-Day Moving Average 3,231.09
7,Avg Vol (3 month) 3,459.52k
8,Avg Vol (10 day) 3,481.86k
9,Shares Outstanding 5,39.99M
10,Float,39.21M
11,% Held by Insiders 1,20.73%
12,% Held by Institutions 1,82.26%
13,"Shares Short (Jun 14, 2020) 4",741.69k
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",3.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.85%
17,"Shares Short (prior month May 14, 2020) 4",965.14k
18,Forward Annual Dividend Rate 4,6.2
19,Forward Annual Dividend Yield 4,2.99%
20,Trailing Annual Dividend Rate 3,5.90
21,Trailing Annual Dividend Yield 3,2.85%
22,5 Year Average Dividend Yield 4,2.25
23,Payout Ratio 4,35.89%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 25, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.16%
31,Operating Margin (ttm),7.99%
32,Return on Assets (ttm),1.55%
33,Return on Equity (ttm),7.90%
34,Revenue (ttm),8.23B
35,Revenue Per Share (ttm),204.45
36,Quarterly Revenue Growth (yoy),-0.50%
37,Gross Profit (ttm),1.18B
38,EBITDA,
39,Net Income Avi to Common (ttm),663.76M
40,Diluted EPS (ttm),16.45
41,Quarterly Earnings Growth (yoy),-95.30%
42,Total Cash (mrq),1.26B
43,Total Cash Per Share (mrq),31.49
44,Total Debt (mrq),849.26M
45,Total Debt/Equity (mrq),9.90
46,Current Ratio (mrq),1.77
47,Book Value Per Share (mrq),214.59
48,Operating Cash Flow (ttm),1.9B
49,Levered Free Cash Flow (ttm),1.19B
