,Attribute,Value
0,Beta (5Y Monthly),0.57
1,52-Week Change 3,98.07%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,646.33
4,52 Week Low 3,271.37
5,50-Day Moving Average 3,589.04
6,200-Day Moving Average 3,474.32
7,Avg Vol (3 month) 3,1.42M
8,Avg Vol (10 day) 3,1.13M
9,Shares Outstanding 5,100.75M
10,Float,106.16M
11,% Held by Insiders 1,23.82%
12,% Held by Institutions 1,68.35%
13,"Shares Short (Jun 14, 2020) 4",2.47M
14,"Short Ratio (Jun 14, 2020) 4",1.23
15,"Short % of Float (Jun 14, 2020) 4",3.38%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.41%
17,"Shares Short (prior month May 14, 2020) 4",1.78M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.40%
31,Operating Margin (ttm),29.63%
32,Return on Assets (ttm),10.77%
33,Return on Equity (ttm),21.13%
34,Revenue (ttm),8.32B
35,Revenue Per Share (ttm),76.03
36,Quarterly Revenue Growth (yoy),33.20%
37,Gross Profit (ttm),4.04B
38,EBITDA,2.68B
39,Net Income Avi to Common (ttm),2.28B
40,Diluted EPS (ttm),19.91
41,Quarterly Earnings Growth (yoy),35.50%
42,Total Cash (mrq),4B
43,Total Cash Per Share (mrq),35.95
44,Total Debt (mrq),715.2M
45,Total Debt/Equity (mrq),5.89
46,Current Ratio (mrq),4.21
47,Book Value Per Share (mrq),109.28
48,Operating Cash Flow (ttm),2.23B
49,Levered Free Cash Flow (ttm),1.28B
