,Attribute,Value
0,Beta (5Y Monthly),1.51
1,52-Week Change 3,27.08%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,230.71
4,52 Week Low 3,115.38
5,50-Day Moving Average 3,208.47
6,200-Day Moving Average 3,190.58
7,Avg Vol (3 month) 3,1.09M
8,Avg Vol (10 day) 3,829.02k
9,Shares Outstanding 5,115.82M
10,Float,114.96M
11,% Held by Insiders 1,0.67%
12,% Held by Institutions 1,78.99%
13,"Shares Short (Jun 14, 2020) 4",2.93M
14,"Short Ratio (Jun 14, 2020) 4",2.37
15,"Short % of Float (Jun 14, 2020) 4",2.53%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.53%
17,"Shares Short (prior month May 14, 2020) 4",3.54M
18,Forward Annual Dividend Rate 4,4.08
19,Forward Annual Dividend Yield 4,1.96%
20,Trailing Annual Dividend Rate 3,3.98
21,Trailing Annual Dividend Yield 3,1.91%
22,5 Year Average Dividend Yield 4,2.14
23,Payout Ratio 4,65.25%
24,Dividend Date 3,"Sep 09, 2020"
25,Ex-Dividend Date 4,"Aug 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 13, 1987"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.54%
31,Operating Margin (ttm),19.52%
32,Return on Assets (ttm),12.77%
33,Return on Equity (ttm),62.86%
34,Revenue (ttm),6.76B
35,Revenue Per Share (ttm),58.08
36,Quarterly Revenue Growth (yoy),1.50%
37,Gross Profit (ttm),2.9B
38,EBITDA,1.47B
39,Net Income Avi to Common (ttm),711.7M
40,Diluted EPS (ttm),6.08
41,Quarterly Earnings Growth (yoy),-61.80%
42,Total Cash (mrq),642.4M
43,Total Cash Per Share (mrq),5.55
44,Total Debt (mrq),2.39B
45,Total Debt/Equity (mrq),255.21
46,Current Ratio (mrq),1.57
47,Book Value Per Share (mrq),5.36
48,Operating Cash Flow (ttm),1.27B
49,Levered Free Cash Flow (ttm),833M
