,Attribute,Value
0,Beta (5Y Monthly),1.25
1,52-Week Change 3,-15.20%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,51.65
4,52 Week Low 3,28.00
5,50-Day Moving Average 3,36.17
6,200-Day Moving Average 3,40.17
7,Avg Vol (3 month) 3,11.03M
8,Avg Vol (10 day) 3,12.18M
9,Shares Outstanding 5,1.29B
10,Float,1.15B
11,% Held by Insiders 1,10.45%
12,% Held by Institutions 1,84.39%
13,"Shares Short (Jun 14, 2020) 4",73.8M
14,"Short Ratio (Jun 14, 2020) 4",6.28
15,"Short % of Float (Jun 14, 2020) 4",6.40%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.73%
17,"Shares Short (prior month May 14, 2020) 4",73.55M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,2.11%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,2.02%
22,5 Year Average Dividend Yield 4,0.98
23,Payout Ratio 4,26.95%
24,Dividend Date 3,"May 21, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"May 30, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,33.30%
31,Operating Margin (ttm),44.21%
32,Return on Assets (ttm),1.08%
33,Return on Equity (ttm),14.76%
34,Revenue (ttm),10.62B
35,Revenue Per Share (ttm),8.17
36,Quarterly Revenue Growth (yoy),-3.90%
37,Gross Profit (ttm),10.47B
38,EBITDA,
39,Net Income Avi to Common (ttm),3.36B
40,Diluted EPS (ttm),2.56
41,Quarterly Earnings Growth (yoy),-17.50%
42,Total Cash (mrq),102.77B
43,Total Cash Per Share (mrq),79.82
44,Total Debt (mrq),9.86B
45,Total Debt/Equity (mrq),37.52
46,Current Ratio (mrq),0.43
47,Book Value Per Share (mrq),18.24
48,Operating Cash Flow (ttm),22.04B
49,Levered Free Cash Flow (ttm),
