,Attribute,Value
0,Beta (5Y Monthly),1.18
1,52-Week Change 3,-27.26%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,45.86
4,52 Week Low 3,17.06
5,50-Day Moving Average 3,31.29
6,200-Day Moving Average 3,32.24
7,Avg Vol (3 month) 3,1.44M
8,Avg Vol (10 day) 3,1.21M
9,Shares Outstanding 5,155.66M
10,Float,154.65M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,97.11%
13,"Shares Short (Jun 14, 2020) 4",4.78M
14,"Short Ratio (Jun 14, 2020) 4",4.48
15,"Short % of Float (Jun 14, 2020) 4",3.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.07%
17,"Shares Short (prior month May 14, 2020) 4",5.85M
18,Forward Annual Dividend Rate 4,0.64
19,Forward Annual Dividend Yield 4,2.06%
20,Trailing Annual Dividend Rate 3,0.64
21,Trailing Annual Dividend Yield 3,2.06%
22,5 Year Average Dividend Yield 4,1.45
23,Payout Ratio 4,28.83%
24,Dividend Date 3,"Jun 18, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 18, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.84%
31,Operating Margin (ttm),14.90%
32,Return on Assets (ttm),8.35%
33,Return on Equity (ttm),
34,Revenue (ttm),4.85B
35,Revenue Per Share (ttm),31.46
36,Quarterly Revenue Growth (yoy),5.50%
37,Gross Profit (ttm),1.56B
38,EBITDA,900M
39,Net Income Avi to Common (ttm),343.4M
40,Diluted EPS (ttm),2.14
41,Quarterly Earnings Growth (yoy),120.20%
42,Total Cash (mrq),274.6M
43,Total Cash Per Share (mrq),1.76
44,Total Debt (mrq),3.96B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),-1.17
48,Operating Cash Flow (ttm),487M
49,Levered Free Cash Flow (ttm),372.68M
