,Attribute,Value
0,Beta (5Y Monthly),0.65
1,52-Week Change 3,-24.71%
2,S&P500 52-Week Change 3,
3,52 Week High 3,94.24
4,52 Week Low 3,42.57
5,50-Day Moving Average 3,61.63
6,200-Day Moving Average 3,70.37
7,Avg Vol (3 month) 3,3.69M
8,Avg Vol (10 day) 3,2.96M
9,Shares Outstanding 5,294.31M
10,Float,286.38M
11,% Held by Insiders 1,2.50%
12,% Held by Institutions 1,90.30%
13,"Shares Short (Jun 14, 2020) 4",4.57M
14,"Short Ratio (Jun 14, 2020) 4",1.2
15,"Short % of Float (Jun 14, 2020) 4",1.82%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.25%
17,"Shares Short (prior month May 14, 2020) 4",4.24M
18,Forward Annual Dividend Rate 4,1.68
19,Forward Annual Dividend Yield 4,2.81%
20,Trailing Annual Dividend Rate 3,1.59
21,Trailing Annual Dividend Yield 3,2.66%
22,5 Year Average Dividend Yield 4,1.43
23,Payout Ratio 4,29.61%
24,Dividend Date 3,"Sep 14, 2020"
25,Ex-Dividend Date 4,"Aug 30, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Feb 17, 1997"
28,Fiscal Year Ends,"Sep 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,4.52%
31,Operating Margin (ttm),6.79%
32,Return on Assets (ttm),5.56%
33,Return on Equity (ttm),14.07%
34,Revenue (ttm),43.47B
35,Revenue Per Share (ttm),119.92
36,Quarterly Revenue Growth (yoy),4.30%
37,Gross Profit (ttm),5.09B
38,EBITDA,4.1B
39,Net Income Avi to Common (ttm),1.97B
40,Diluted EPS (ttm),5.37
41,Quarterly Earnings Growth (yoy),-14.60%
42,Total Cash (mrq),439M
43,Total Cash Per Share (mrq),1.21
44,Total Debt (mrq),12.66B
45,Total Debt/Equity (mrq),86.75
46,Current Ratio (mrq),1.61
47,Book Value Per Share (mrq),39.66
48,Operating Cash Flow (ttm),2.83B
49,Levered Free Cash Flow (ttm),953.5M
