,Attribute,Value
0,Beta (5Y Monthly),1.66
1,52-Week Change 3,-37.78%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,54.24
4,52 Week Low 3,20.26
5,50-Day Moving Average 3,31.27
6,200-Day Moving Average 3,36.08
7,Avg Vol (3 month) 3,1.88M
8,Avg Vol (10 day) 3,1.75M
9,Shares Outstanding 5,227.47M
10,Float,226.33M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,84.45%
13,"Shares Short (Jun 14, 2020) 4",5.74M
14,"Short Ratio (Jun 14, 2020) 4",2.96
15,"Short % of Float (Jun 14, 2020) 4",3.38%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.52%
17,"Shares Short (prior month May 14, 2020) 4",5.28M
18,Forward Annual Dividend Rate 4,0.08
19,Forward Annual Dividend Yield 4,0.24%
20,Trailing Annual Dividend Rate 3,0.08
21,Trailing Annual Dividend Yield 3,0.24%
22,5 Year Average Dividend Yield 4,0.18
23,Payout Ratio 4,2.70%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 26, 2007"
28,Fiscal Year Ends,"Jan 03, 2020"
29,Most Recent Quarter (mrq),"Apr 03, 2020"
30,Profit Margin,5.16%
31,Operating Margin (ttm),7.93%
32,Return on Assets (ttm),4.33%
33,Return on Equity (ttm),12.74%
34,Revenue (ttm),13.3B
35,Revenue Per Share (ttm),57.90
36,Quarterly Revenue Growth (yoy),-10.70%
37,Gross Profit (ttm),2.2B
38,EBITDA,1.46B
39,Net Income Avi to Common (ttm),686M
40,Diluted EPS (ttm),2.97
41,Quarterly Earnings Growth (yoy),-72.10%
42,Total Cash (mrq),2.26B
43,Total Cash Per Share (mrq),9.95
44,Total Debt (mrq),5.31B
45,Total Debt/Equity (mrq),95.92
46,Current Ratio (mrq),2.07
47,Book Value Per Share (mrq),24.34
48,Operating Cash Flow (ttm),835M
49,Levered Free Cash Flow (ttm),382.75M
