,Attribute,Value
0,Beta (5Y Monthly),1.18
1,52-Week Change 3,-62.13%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,27.72
4,52 Week Low 3,7.15
5,50-Day Moving Average 3,9.38
6,200-Day Moving Average 3,13.74
7,Avg Vol (3 month) 3,8.36M
8,Avg Vol (10 day) 3,6.88M
9,Shares Outstanding 5,188.45M
10,Float,329.45M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,92.33%
13,"Shares Short (Jun 14, 2020) 4",24.97M
14,"Short Ratio (Jun 14, 2020) 4",2.2
15,"Short % of Float (Jun 14, 2020) 4",15.42%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.50%
17,"Shares Short (prior month May 14, 2020) 4",27.84M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 07, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-10.42%
31,Operating Margin (ttm),1.72%
32,Return on Assets (ttm),1.16%
33,Return on Equity (ttm),-28.89%
34,Revenue (ttm),4.99B
35,Revenue Per Share (ttm),11.05
36,Quarterly Revenue Growth (yoy),-22.80%
37,Gross Profit (ttm),2.47B
38,EBITDA,274.52M
39,Net Income Avi to Common (ttm),-520.02M
40,Diluted EPS (ttm),-1.15
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),959.32M
43,Total Cash Per Share (mrq),2.11
44,Total Debt (mrq),2.24B
45,Total Debt/Equity (mrq),144.29
46,Current Ratio (mrq),1.70
47,Book Value Per Share (mrq),3.41
48,Operating Cash Flow (ttm),232.11M
49,Levered Free Cash Flow (ttm),118.4M
