,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-30.64%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,157.79
4,52 Week Low 3,65.20
5,50-Day Moving Average 3,100.38
6,200-Day Moving Average 3,117.19
7,Avg Vol (3 month) 3,796.44k
8,Avg Vol (10 day) 3,1.01M
9,Shares Outstanding 5,77.67M
10,Float,75.29M
11,% Held by Insiders 1,2.39%
12,% Held by Institutions 1,98.75%
13,"Shares Short (Jun 14, 2020) 4",1.64M
14,"Short Ratio (Jun 14, 2020) 4",2.22
15,"Short % of Float (Jun 14, 2020) 4",2.45%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.93%
17,"Shares Short (prior month May 14, 2020) 4",2.19M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.70
21,Trailing Annual Dividend Yield 3,0.77%
22,5 Year Average Dividend Yield 4,0.35
23,Payout Ratio 4,8.54%
24,Dividend Date 3,"Mar 15, 2020"
25,Ex-Dividend Date 4,"Feb 27, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 15, 2009"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.34%
31,Operating Margin (ttm),10.61%
32,Return on Assets (ttm),6.48%
33,Return on Equity (ttm),13.30%
34,Revenue (ttm),11.4B
35,Revenue Per Share (ttm),130.15
36,Quarterly Revenue Growth (yoy),0.90%
37,Gross Profit (ttm),4.54B
38,EBITDA,1.7B
39,Net Income Avi to Common (ttm),720.84M
40,Diluted EPS (ttm),8.20
41,Quarterly Earnings Growth (yoy),-39.30%
42,Total Cash (mrq),54.62M
43,Total Cash Per Share (mrq),0.64
44,Total Debt (mrq),4.15B
45,Total Debt/Equity (mrq),75.55
46,Current Ratio (mrq),1.09
47,Book Value Per Share (mrq),63.74
48,Operating Cash Flow (ttm),1.51B
49,Levered Free Cash Flow (ttm),710.01M
