,Attribute,Value
0,Beta (5Y Monthly),1.17
1,52-Week Change 3,-27.39%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,61.11
4,52 Week Low 3,28.36
5,50-Day Moving Average 3,36.38
6,200-Day Moving Average 3,44.08
7,Avg Vol (3 month) 3,9.79M
8,Avg Vol (10 day) 3,11.59M
9,Shares Outstanding 5,1.52B
10,Float,1.5B
11,% Held by Insiders 1,0.09%
12,% Held by Institutions 1,77.75%
13,"Shares Short (Jun 14, 2020) 4",16.21M
14,"Short Ratio (Jun 14, 2020) 4",1.62
15,"Short % of Float (Jun 14, 2020) 4",1.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.08%
17,"Shares Short (prior month May 14, 2020) 4",16.72M
18,Forward Annual Dividend Rate 4,1.68
19,Forward Annual Dividend Yield 4,4.42%
20,Trailing Annual Dividend Rate 3,1.63
21,Trailing Annual Dividend Yield 3,4.28%
22,5 Year Average Dividend Yield 4,2.52
23,Payout Ratio 4,42.12%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,1265:1000
27,Last Split Date 3,"Feb 26, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.80%
31,Operating Margin (ttm),39.63%
32,Return on Assets (ttm),1.26%
33,Return on Equity (ttm),12.24%
34,Revenue (ttm),20.73B
35,Revenue Per Share (ttm),13.29
36,Quarterly Revenue Growth (yoy),-8.00%
37,Gross Profit (ttm),21.14B
38,EBITDA,
39,Net Income Avi to Common (ttm),6.06B
40,Diluted EPS (ttm),3.88
41,Quarterly Earnings Growth (yoy),-31.10%
42,Total Cash (mrq),51.1B
43,Total Cash Per Share (mrq),33.93
44,Total Debt (mrq),80.35B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),30.24
48,Operating Cash Flow (ttm),5.95B
49,Levered Free Cash Flow (ttm),
