,Attribute,Value
0,Beta (5Y Monthly),1.36
1,52-Week Change 3,-40.86%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,68.68
4,52 Week Low 3,27.64
5,50-Day Moving Average 3,38.75
6,200-Day Moving Average 3,50.15
7,Avg Vol (3 month) 3,3.03M
8,Avg Vol (10 day) 3,2.43M
9,Shares Outstanding 5,191.12M
10,Float,178.01M
11,% Held by Insiders 1,8.44%
12,% Held by Institutions 1,90.60%
13,"Shares Short (Jun 14, 2020) 4",12.43M
14,"Short Ratio (Jun 14, 2020) 4",3.67
15,"Short % of Float (Jun 14, 2020) 4",8.47%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.50%
17,"Shares Short (prior month May 14, 2020) 4",13.15M
18,Forward Annual Dividend Rate 4,2.64
19,Forward Annual Dividend Yield 4,6.96%
20,Trailing Annual Dividend Rate 3,2.64
21,Trailing Annual Dividend Yield 3,6.96%
22,5 Year Average Dividend Yield 4,3.45
23,Payout Ratio 4,17.27%
24,Dividend Date 3,"May 21, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,1237:1000
27,Last Split Date 3,"Jul 17, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,154.34%
31,Operating Margin (ttm),23.88%
32,Return on Assets (ttm),1.60%
33,Return on Equity (ttm),43.48%
34,Revenue (ttm),1.93B
35,Revenue Per Share (ttm),10.09
36,Quarterly Revenue Growth (yoy),-14.50%
37,Gross Profit (ttm),1.08B
38,EBITDA,834.93M
39,Net Income Avi to Common (ttm),2.92B
40,Diluted EPS (ttm),15.29
41,Quarterly Earnings Growth (yoy),-91.00%
42,Total Cash (mrq),1.59B
43,Total Cash Per Share (mrq),8.3
44,Total Debt (mrq),8.59B
45,Total Debt/Equity (mrq),108.50
46,Current Ratio (mrq),7.07
47,Book Value Per Share (mrq),31.11
48,Operating Cash Flow (ttm),649.87M
49,Levered Free Cash Flow (ttm),-211.84M
