,Attribute,Value
0,Beta (5Y Monthly),0.95
1,52-Week Change 3,-18.16%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,245.68
4,52 Week Low 3,154.39
5,50-Day Moving Average 3,190.25
6,200-Day Moving Average 3,204.08
7,Avg Vol (3 month) 3,585.63k
8,Avg Vol (10 day) 3,998.79k
9,Shares Outstanding 5,61.91M
10,Float,61.57M
11,% Held by Insiders 1,0.56%
12,% Held by Institutions 1,102.99%
13,"Shares Short (Jun 14, 2020) 4",4.31M
14,"Short Ratio (Jun 14, 2020) 4",7.86
15,"Short % of Float (Jun 14, 2020) 4",7.95%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.96%
17,"Shares Short (prior month May 14, 2020) 4",4.54M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Nov 25, 1996"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 27, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,22.77%
31,Operating Margin (ttm),28.94%
32,Return on Assets (ttm),14.42%
33,Return on Equity (ttm),170.47%
34,Revenue (ttm),2.36B
35,Revenue Per Share (ttm),36.13
36,Quarterly Revenue Growth (yoy),-9.50%
37,Gross Profit (ttm),1.4B
38,EBITDA,792.11M
39,Net Income Avi to Common (ttm),536.77M
40,Diluted EPS (ttm),8.17
41,Quarterly Earnings Growth (yoy),-50.90%
42,Total Cash (mrq),393.87M
43,Total Cash Per Share (mrq),6.36
44,Total Debt (mrq),1.99B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),2.41
47,Book Value Per Share (mrq),-5.46
48,Operating Cash Flow (ttm),618.94M
49,Levered Free Cash Flow (ttm),326.34M
