,Attribute,Value
0,Beta (5Y Monthly),1.61
1,52-Week Change 3,-10.47%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,72.00
4,52 Week Low 3,27.40
5,50-Day Moving Average 3,43.62
6,200-Day Moving Average 3,51.66
7,Avg Vol (3 month) 3,6.18M
8,Avg Vol (10 day) 3,6.18M
9,Shares Outstanding 5,299.7M
10,Float,298.42M
11,% Held by Insiders 1,0.36%
12,% Held by Institutions 1,86.43%
13,"Shares Short (Jun 14, 2020) 4",10.59M
14,"Short Ratio (Jun 14, 2020) 4",1.91
15,"Short % of Float (Jun 14, 2020) 4",3.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.53%
17,"Shares Short (prior month May 14, 2020) 4",9.96M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,2.00
21,Trailing Annual Dividend Yield 3,4.70%
22,5 Year Average Dividend Yield 4,3.34
23,Payout Ratio 4,
24,Dividend Date 3,"Apr 16, 2020"
25,Ex-Dividend Date 4,"Apr 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 03, 1997"
28,Fiscal Year Ends,"Jun 27, 2019"
29,Most Recent Quarter (mrq),"Apr 02, 2020"
30,Profit Margin,-3.70%
31,Operating Margin (ttm),-1.60%
32,Return on Assets (ttm),-0.62%
33,Return on Equity (ttm),-6.12%
34,Revenue (ttm),16.08B
35,Revenue Per Share (ttm),54.11
36,Quarterly Revenue Growth (yoy),13.60%
37,Gross Profit (ttm),3.75B
38,EBITDA,1.34B
39,Net Income Avi to Common (ttm),-595M
40,Diluted EPS (ttm),-2.01
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.94B
43,Total Cash Per Share (mrq),9.82
44,Total Debt (mrq),9.88B
45,Total Debt/Equity (mrq),106.86
46,Current Ratio (mrq),1.91
47,Book Value Per Share (mrq),30.81
48,Operating Cash Flow (ttm),821M
49,Levered Free Cash Flow (ttm),721.88M
