,Attribute,Value
0,Beta (5Y Monthly),1.87
1,52-Week Change 3,-16.51%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,31.58
4,52 Week Low 3,13.10
5,50-Day Moving Average 3,20.99
6,200-Day Moving Average 3,24.03
7,Avg Vol (3 month) 3,6.31M
8,Avg Vol (10 day) 3,7.76M
9,Shares Outstanding 5,746.21M
10,Float,743.79M
11,% Held by Insiders 1,0.27%
12,% Held by Institutions 1,79.18%
13,"Shares Short (Jun 14, 2020) 4",8.33M
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",1.31%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.12%
17,"Shares Short (prior month May 14, 2020) 4",7.64M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.36
21,Trailing Annual Dividend Yield 3,6.18%
22,5 Year Average Dividend Yield 4,4.34
23,Payout Ratio 4,277.55%
24,Dividend Date 3,"Mar 19, 2020"
25,Ex-Dividend Date 4,"Mar 04, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 19, 2010"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.47%
31,Operating Margin (ttm),9.99%
32,Return on Assets (ttm),2.41%
33,Return on Equity (ttm),4.30%
34,Revenue (ttm),6.64B
35,Revenue Per Share (ttm),8.90
36,Quarterly Revenue Growth (yoy),5.20%
37,Gross Profit (ttm),1.14B
38,EBITDA,1.17B
39,Net Income Avi to Common (ttm),363M
40,Diluted EPS (ttm),0.49
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.46B
43,Total Cash Per Share (mrq),1.95
44,Total Debt (mrq),7.46B
45,Total Debt/Equity (mrq),92.28
46,Current Ratio (mrq),1.37
47,Book Value Per Share (mrq),10.83
48,Operating Cash Flow (ttm),1.07B
49,Levered Free Cash Flow (ttm),1.18B
