,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,-20.89%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,133.00
4,52 Week Low 3,67.68
5,50-Day Moving Average 3,90.60
6,200-Day Moving Average 3,88.76
7,Avg Vol (3 month) 3,2.84M
8,Avg Vol (10 day) 3,2.81M
9,Shares Outstanding 5,243.19M
10,Float,243.31M
11,% Held by Insiders 1,0.18%
12,% Held by Institutions 1,83.64%
13,"Shares Short (Jun 14, 2020) 4",7.65M
14,"Short Ratio (Jun 14, 2020) 4",3.01
15,"Short % of Float (Jun 14, 2020) 4",4.06%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.15%
17,"Shares Short (prior month May 14, 2020) 4",7.82M
18,Forward Annual Dividend Rate 4,1.52
19,Forward Annual Dividend Yield 4,1.63%
20,Trailing Annual Dividend Rate 3,1.48
21,Trailing Annual Dividend Yield 3,1.59%
22,5 Year Average Dividend Yield 4,2.03
23,Payout Ratio 4,47.59%
24,Dividend Date 3,"Jun 02, 2020"
25,Ex-Dividend Date 4,"May 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 27, 1999"
28,Fiscal Year Ends,"Mar 27, 2020"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,25.07%
31,Operating Margin (ttm),26.07%
32,Return on Assets (ttm),10.47%
33,Return on Equity (ttm),30.63%
34,Revenue (ttm),3.16B
35,Revenue Per Share (ttm),12.56
36,Quarterly Revenue Growth (yoy),-8.70%
37,Gross Profit (ttm),2.14B
38,EBITDA,981.98M
39,Net Income Avi to Common (ttm),792.72M
40,Diluted EPS (ttm),3.11
41,Quarterly Earnings Growth (yoy),-33.70%
42,Total Cash (mrq),2.27B
43,Total Cash Per Share (mrq),9.3
44,Total Debt (mrq),1.31B
45,Total Debt/Equity (mrq),56.58
46,Current Ratio (mrq),2.68
47,Book Value Per Share (mrq),9.49
48,Operating Cash Flow (ttm),1.19B
49,Levered Free Cash Flow (ttm),880.67M
