,Attribute,Value
0,Beta (5Y Monthly),1.70
1,52-Week Change 3,-22.83%
2,S&P500 52-Week Change 3,
3,52 Week High 3,52.48
4,52 Week Low 3,23.58
5,50-Day Moving Average 3,33.37
6,200-Day Moving Average 3,38.17
7,Avg Vol (3 month) 3,3.19M
8,Avg Vol (10 day) 3,2.67M
9,Shares Outstanding 5,163.86M
10,Float,161.33M
11,% Held by Insiders 1,1.53%
12,% Held by Institutions 1,102.10%
13,"Shares Short (Jun 14, 2020) 4",7.82M
14,"Short Ratio (Jun 14, 2020) 4",2.71
15,"Short % of Float (Jun 14, 2020) 4",5.57%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.77%
17,"Shares Short (prior month May 14, 2020) 4",10.4M
18,Forward Annual Dividend Rate 4,1.36
19,Forward Annual Dividend Yield 4,3.97%
20,Trailing Annual Dividend Rate 3,1.32
21,Trailing Annual Dividend Yield 3,3.85%
22,5 Year Average Dividend Yield 4,1.54
23,Payout Ratio 4,41.77%
24,Dividend Date 3,"May 20, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,4:1
27,Last Split Date 3,"May 14, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.36%
31,Operating Margin (ttm),33.64%
32,Return on Assets (ttm),0.88%
33,Return on Equity (ttm),8.19%
34,Revenue (ttm),2.53B
35,Revenue Per Share (ttm),14.83
36,Quarterly Revenue Growth (yoy),-37.40%
37,Gross Profit (ttm),2.8B
38,EBITDA,
39,Net Income Avi to Common (ttm),579M
40,Diluted EPS (ttm),3.20
41,Quarterly Earnings Growth (yoy),-93.40%
42,Total Cash (mrq),3.14B
43,Total Cash Per Share (mrq),19.16
44,Total Debt (mrq),5.84B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),42.15
48,Operating Cash Flow (ttm),892M
49,Levered Free Cash Flow (ttm),
