,Attribute,Value
0,Beta (5Y Monthly),0.85
1,52-Week Change 3,-27.97%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,55.68
4,52 Week Low 3,24.53
5,50-Day Moving Average 3,38.64
6,200-Day Moving Average 3,42.61
7,Avg Vol (3 month) 3,1.29M
8,Avg Vol (10 day) 3,802.17k
9,Shares Outstanding 5,148.86M
10,Float,147.44M
11,% Held by Insiders 1,0.84%
12,% Held by Institutions 1,101.94%
13,"Shares Short (Jun 14, 2020) 4",2.79M
14,"Short Ratio (Jun 14, 2020) 4",2.06
15,"Short % of Float (Jun 14, 2020) 4",2.26%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.87%
17,"Shares Short (prior month May 14, 2020) 4",3.04M
18,Forward Annual Dividend Rate 4,1.64
19,Forward Annual Dividend Yield 4,4.46%
20,Trailing Annual Dividend Rate 3,1.60
21,Trailing Annual Dividend Yield 3,4.35%
22,5 Year Average Dividend Yield 4,3.23
23,Payout Ratio 4,120.61%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,1:1
27,Last Split Date 3,"Feb 20, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,22.72%
31,Operating Margin (ttm),16.70%
32,Return on Assets (ttm),1.42%
33,Return on Equity (ttm),11.41%
34,Revenue (ttm),909.52M
35,Revenue Per Share (ttm),6.11
36,Quarterly Revenue Growth (yoy),-2.40%
37,Gross Profit (ttm),603.88M
38,EBITDA,538.99M
39,Net Income Avi to Common (ttm),201.26M
40,Diluted EPS (ttm),1.35
41,Quarterly Earnings Growth (yoy),-97.50%
42,Total Cash (mrq),340.88M
43,Total Cash Per Share (mrq),2.29
44,Total Debt (mrq),4.8B
45,Total Debt/Equity (mrq),253.22
46,Current Ratio (mrq),1.07
47,Book Value Per Share (mrq),11.55
48,Operating Cash Flow (ttm),370.27M
49,Levered Free Cash Flow (ttm),109M
