,Attribute,Value
0,Beta (5Y Monthly),0.34
1,52-Week Change 3,36.89%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,116.39
4,52 Week Low 3,75.18
5,50-Day Moving Average 3,104.42
6,200-Day Moving Average 3,97.14
7,Avg Vol (3 month) 3,2.23M
8,Avg Vol (10 day) 3,2.21M
9,Shares Outstanding 5,162.27M
10,Float,158.62M
11,% Held by Insiders 1,2.47%
12,% Held by Institutions 1,92.94%
13,"Shares Short (Jun 14, 2020) 4",6.05M
14,"Short Ratio (Jun 14, 2020) 4",3.1
15,"Short % of Float (Jun 14, 2020) 4",4.26%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.73%
17,"Shares Short (prior month May 14, 2020) 4",5.83M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.74%
31,Operating Margin (ttm),20.02%
32,Return on Assets (ttm),6.09%
33,Return on Equity (ttm),14.21%
34,Revenue (ttm),2.95B
35,Revenue Per Share (ttm),18.17
36,Quarterly Revenue Growth (yoy),8.20%
37,Gross Profit (ttm),1.91B
38,EBITDA,871.52M
39,Net Income Avi to Common (ttm),494.05M
40,Diluted EPS (ttm),3.00
41,Quarterly Earnings Growth (yoy),14.90%
42,Total Cash (mrq),1.25B
43,Total Cash Per Share (mrq),7.7
44,Total Debt (mrq),2.67B
45,Total Debt/Equity (mrq),72.74
46,Current Ratio (mrq),3.20
47,Book Value Per Share (mrq),22.64
48,Operating Cash Flow (ttm),1.12B
49,Levered Free Cash Flow (ttm),336.52M
