,Attribute,Value
0,Beta (5Y Monthly),0.88
1,52-Week Change 3,-16.69%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,125.92
4,52 Week Low 3,64.13
5,50-Day Moving Average 3,96.89
6,200-Day Moving Average 3,103.07
7,Avg Vol (3 month) 3,2.13M
8,Avg Vol (10 day) 3,2.63M
9,Shares Outstanding 5,314.12M
10,Float,312.42M
11,% Held by Insiders 1,0.42%
12,% Held by Institutions 1,80.77%
13,"Shares Short (Jun 14, 2020) 4",3.95M
14,"Short Ratio (Jun 14, 2020) 4",1.92
15,"Short % of Float (Jun 14, 2020) 4",1.26%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.26%
17,"Shares Short (prior month May 14, 2020) 4",3.87M
18,Forward Annual Dividend Rate 4,2.16
19,Forward Annual Dividend Yield 4,2.52%
20,Trailing Annual Dividend Rate 3,2.04
21,Trailing Annual Dividend Yield 3,2.38%
22,5 Year Average Dividend Yield 4,1.82
23,Payout Ratio 4,17.17%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 01, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.38%
31,Operating Margin (ttm),12.76%
32,Return on Assets (ttm),3.01%
33,Return on Equity (ttm),17.25%
34,Revenue (ttm),43.76B
35,Revenue Per Share (ttm),134.90
36,Quarterly Revenue Growth (yoy),-8.30%
37,Gross Profit (ttm),12.49B
38,EBITDA,6.23B
39,Net Income Avi to Common (ttm),3.93B
40,Diluted EPS (ttm),11.92
41,Quarterly Earnings Growth (yoy),-57.50%
42,Total Cash (mrq),6.01B
43,Total Cash Per Share (mrq),19.13
44,Total Debt (mrq),6.63B
45,Total Debt/Equity (mrq),27.44
46,Current Ratio (mrq),0.51
47,Book Value Per Share (mrq),70.49
48,Operating Cash Flow (ttm),5.44B
49,Levered Free Cash Flow (ttm),2.61B
