,Attribute,Value
0,Beta (5Y Monthly),1.24
1,52-Week Change 3,-4.48%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,102.31
4,52 Week Low 3,54.82
5,50-Day Moving Average 3,90.05
6,200-Day Moving Average 3,87.46
7,Avg Vol (3 month) 3,1.41M
8,Avg Vol (10 day) 3,956.15k
9,Shares Outstanding 5,229.19M
10,Float,228.38M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,89.04%
13,"Shares Short (Jun 14, 2020) 4",2.87M
14,"Short Ratio (Jun 14, 2020) 4",2.1
15,"Short % of Float (Jun 14, 2020) 4",1.41%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.25%
17,"Shares Short (prior month May 14, 2020) 4",3.11M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,0.83%
20,Trailing Annual Dividend Rate 3,0.60
21,Trailing Annual Dividend Yield 3,0.70%
22,5 Year Average Dividend Yield 4,0.66
23,Payout Ratio 4,14.71%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jul 01, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.48%
31,Operating Margin (ttm),22.40%
32,Return on Assets (ttm),7.29%
33,Return on Equity (ttm),19.17%
34,Revenue (ttm),5.07B
35,Revenue Per Share (ttm),22.22
36,Quarterly Revenue Growth (yoy),-6.60%
37,Gross Profit (ttm),1.79B
38,EBITDA,1.38B
39,Net Income Avi to Common (ttm),937.64M
40,Diluted EPS (ttm),4.08
41,Quarterly Earnings Growth (yoy),37.40%
42,Total Cash (mrq),1.25B
43,Total Cash Per Share (mrq),5.46
44,Total Debt (mrq),3.43B
45,Total Debt/Equity (mrq),64.34
46,Current Ratio (mrq),1.88
47,Book Value Per Share (mrq),23.21
48,Operating Cash Flow (ttm),1.19B
49,Levered Free Cash Flow (ttm),939.57M
