,Attribute,Value
0,Beta (5Y Monthly),0.95
1,52-Week Change 3,-16.90%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,310.78
4,52 Week Low 3,171.03
5,50-Day Moving Average 3,273.03
6,200-Day Moving Average 3,270.32
7,Avg Vol (3 month) 3,1.42M
8,Avg Vol (10 day) 3,1.01M
9,Shares Outstanding 5,252.14M
10,Float,251.73M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,92.52%
13,"Shares Short (Jun 14, 2020) 4",2.46M
14,"Short Ratio (Jun 14, 2020) 4",1.74
15,"Short % of Float (Jun 14, 2020) 4",0.98%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.98%
17,"Shares Short (prior month May 14, 2020) 4",3.36M
18,Forward Annual Dividend Rate 4,3.8
19,Forward Annual Dividend Yield 4,1.49%
20,Trailing Annual Dividend Rate 3,3.35
21,Trailing Annual Dividend Yield 3,1.31%
22,5 Year Average Dividend Yield 4,1.40
23,Payout Ratio 4,18.11%
24,Dividend Date 3,"Jun 24, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 31, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.38%
31,Operating Margin (ttm),6.31%
32,Return on Assets (ttm),5.48%
33,Return on Equity (ttm),15.49%
34,Revenue (ttm),109.17B
35,Revenue Per Share (ttm),429.24
36,Quarterly Revenue Growth (yoy),20.10%
37,Gross Profit (ttm),22.43B
38,EBITDA,7.43B
39,Net Income Avi to Common (ttm),4.78B
40,Diluted EPS (ttm),18.47
41,Quarterly Earnings Growth (yoy),-1.80%
42,Total Cash (mrq),25.8B
43,Total Cash Per Share (mrq),102.32
44,Total Debt (mrq),23.11B
45,Total Debt/Equity (mrq),72.91
46,Current Ratio (mrq),1.53
47,Book Value Per Share (mrq),125.76
48,Operating Cash Flow (ttm),6.95B
49,Levered Free Cash Flow (ttm),4.06B
