,Attribute,Value
0,Beta (5Y Monthly),1.27
1,52-Week Change 3,8.23%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,52.70
4,52 Week Low 3,33.81
5,50-Day Moving Average 3,47.58
6,200-Day Moving Average 3,43.51
7,Avg Vol (3 month) 3,1.43M
8,Avg Vol (10 day) 3,928.12k
9,Shares Outstanding 5,135.1M
10,Float,132.13M
11,% Held by Insiders 1,0.97%
12,% Held by Institutions 1,104.52%
13,"Shares Short (Jun 14, 2020) 4",7.46M
14,"Short Ratio (Jun 14, 2020) 4",4.48
15,"Short % of Float (Jun 14, 2020) 4",6.33%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.63%
17,"Shares Short (prior month May 14, 2020) 4",9.11M
18,Forward Annual Dividend Rate 4,0.96
19,Forward Annual Dividend Yield 4,2.02%
20,Trailing Annual Dividend Rate 3,0.92
21,Trailing Annual Dividend Yield 3,1.93%
22,5 Year Average Dividend Yield 4,1.32
23,Payout Ratio 4,45.77%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 05, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,11.54%
31,Operating Margin (ttm),14.48%
32,Return on Assets (ttm),8.51%
33,Return on Equity (ttm),19.75%
34,Revenue (ttm),2.88B
35,Revenue Per Share (ttm),17.57
36,Quarterly Revenue Growth (yoy),-14.90%
37,Gross Profit (ttm),1.18B
38,EBITDA,495.5M
39,Net Income Avi to Common (ttm),332.4M
40,Diluted EPS (ttm),2.01
41,Quarterly Earnings Growth (yoy),-42.10%
42,Total Cash (mrq),551.7M
43,Total Cash Per Share (mrq),3.42
44,Total Debt (mrq),391.2M
45,Total Debt/Equity (mrq),24.20
46,Current Ratio (mrq),2.06
47,Book Value Per Share (mrq),10.03
48,Operating Cash Flow (ttm),488.7M
49,Levered Free Cash Flow (ttm),386.01M
