,Attribute,Value
0,Beta (5Y Monthly),4.66
1,52-Week Change 3,-51.76%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,33.77
4,52 Week Low 3,3.80
5,50-Day Moving Average 3,13.50
6,200-Day Moving Average 3,16.87
7,Avg Vol (3 month) 3,19.45M
8,Avg Vol (10 day) 3,10.38M
9,Shares Outstanding 5,377.43M
10,Float,376.01M
11,% Held by Insiders 1,0.46%
12,% Held by Institutions 1,99.95%
13,"Shares Short (Jun 14, 2020) 4",17.29M
14,"Short Ratio (Jun 14, 2020) 4",0.85
15,"Short % of Float (Jun 14, 2020) 4",6.24%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.58%
17,"Shares Short (prior month May 14, 2020) 4",34.09M
18,Forward Annual Dividend Rate 4,0.1
19,Forward Annual Dividend Yield 4,0.83%
20,Trailing Annual Dividend Rate 3,0.77
21,Trailing Annual Dividend Yield 3,6.42%
22,5 Year Average Dividend Yield 4,3.13
23,Payout Ratio 4,
24,Dividend Date 3,"Aug 20, 2020"
25,Ex-Dividend Date 4,"Jul 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 14, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-135.68%
31,Operating Margin (ttm),-25.40%
32,Return on Assets (ttm),-5.32%
33,Return on Equity (ttm),-185.44%
34,Revenue (ttm),5.89B
35,Revenue Per Share (ttm),15.59
36,Quarterly Revenue Growth (yoy),-19.40%
37,Gross Profit (ttm),4.63B
38,EBITDA,3.46B
39,Net Income Avi to Common (ttm),-7.99B
40,Diluted EPS (ttm),-21.17
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),428M
43,Total Cash Per Share (mrq),1.13
44,Total Debt (mrq),9.01B
45,Total Debt/Equity (mrq),2612.75
46,Current Ratio (mrq),0.94
47,Book Value Per Share (mrq),-3.30
48,Operating Cash Flow (ttm),2.77B
49,Levered Free Cash Flow (ttm),1.45B
