,Attribute,Value
0,Beta (5Y Monthly),1.11
1,52-Week Change 3,-27.49%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,138.13
4,52 Week Low 3,67.00
5,50-Day Moving Average 3,99.50
6,200-Day Moving Average 3,104.18
7,Avg Vol (3 month) 3,6.38M
8,Avg Vol (10 day) 3,4.86M
9,Shares Outstanding 5,804.97M
10,Float,651.29M
11,% Held by Insiders 1,0.10%
12,% Held by Institutions 1,87.09%
13,"Shares Short (Jun 14, 2020) 4",10.99M
14,"Short Ratio (Jun 14, 2020) 4",1.62
15,"Short % of Float (Jun 14, 2020) 4",1.68%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.36%
17,"Shares Short (prior month May 14, 2020) 4",11.34M
18,Forward Annual Dividend Rate 4,1.72
19,Forward Annual Dividend Yield 4,1.90%
20,Trailing Annual Dividend Rate 3,1.68
21,Trailing Annual Dividend Yield 3,1.85%
22,5 Year Average Dividend Yield 4,1.52
23,Payout Ratio 4,25.45%
24,Dividend Date 3,"Aug 09, 2020"
25,Ex-Dividend Date 4,"Jun 30, 2020"
26,Last Split Factor 2,10000:8753
27,Last Split Date 3,"Oct 02, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.63%
31,Operating Margin (ttm),18.55%
32,Return on Assets (ttm),2.91%
33,Return on Equity (ttm),25.80%
34,Revenue (ttm),38.12B
35,Revenue Per Share (ttm),46.51
36,Quarterly Revenue Growth (yoy),-19.50%
37,Gross Profit (ttm),27.32B
38,EBITDA,
39,Net Income Avi to Common (ttm),5.45B
40,Diluted EPS (ttm),6.63
41,Quarterly Earnings Growth (yoy),-76.30%
42,Total Cash (mrq),37.41B
43,Total Cash Per Share (mrq),46.47
44,Total Debt (mrq),56.24B
45,Total Debt/Equity (mrq),267.72
46,Current Ratio (mrq),1.80
47,Book Value Per Share (mrq),26.09
48,Operating Cash Flow (ttm),2.87B
49,Levered Free Cash Flow (ttm),
