,Attribute,Value
0,Beta (5Y Monthly),0.94
1,52-Week Change 3,1.63%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,286.72
4,52 Week Low 3,197.75
5,50-Day Moving Average 3,240.50
6,200-Day Moving Average 3,250.73
7,Avg Vol (3 month) 3,2.16M
8,Avg Vol (10 day) 3,1.99M
9,Shares Outstanding 5,294.88M
10,Float,271.07M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,89.53%
13,"Shares Short (Jun 14, 2020) 4",2.15M
14,"Short Ratio (Jun 14, 2020) 4",0.71
15,"Short % of Float (Jun 14, 2020) 4",0.84%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.73%
17,"Shares Short (prior month May 14, 2020) 4",2.24M
18,Forward Annual Dividend Rate 4,3.16
19,Forward Annual Dividend Yield 4,1.22%
20,Trailing Annual Dividend Rate 3,3.12
21,Trailing Annual Dividend Yield 3,1.21%
22,5 Year Average Dividend Yield 4,1.39
23,Payout Ratio 4,92.86%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 20, 1998"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.17%
31,Operating Margin (ttm),17.11%
32,Return on Assets (ttm),3.51%
33,Return on Equity (ttm),5.09%
34,Revenue (ttm),17.41B
35,Revenue Per Share (ttm),64.26
36,Quarterly Revenue Growth (yoy),1.40%
37,Gross Profit (ttm),8.29B
38,EBITDA,5.17B
39,Net Income Avi to Common (ttm),923M
40,Diluted EPS (ttm),3.36
41,Quarterly Earnings Growth (yoy),815.00%
42,Total Cash (mrq),2.36B
43,Total Cash Per Share (mrq),8.67
44,Total Debt (mrq),21.61B
45,Total Debt/Equity (mrq),103.17
46,Current Ratio (mrq),0.98
47,Book Value Per Share (mrq),77.08
48,Operating Cash Flow (ttm),3.5B
49,Levered Free Cash Flow (ttm),3.16B
