,Attribute,Value
0,Beta (5Y Monthly),0.51
1,52-Week Change 3,19.37%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,374.99
4,52 Week Low 3,215.78
5,50-Day Moving Average 3,281.66
6,200-Day Moving Average 3,300.39
7,Avg Vol (3 month) 3,1.79M
8,Avg Vol (10 day) 3,1.53M
9,Shares Outstanding 5,166.09M
10,Float,162.17M
11,% Held by Insiders 1,0.66%
12,% Held by Institutions 1,93.15%
13,"Shares Short (Jun 14, 2020) 4",4.65M
14,"Short Ratio (Jun 14, 2020) 4",3.52
15,"Short % of Float (Jun 14, 2020) 4",2.87%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.85%
17,"Shares Short (prior month May 14, 2020) 4",4.48M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jan 17, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,40.76%
31,Operating Margin (ttm),52.25%
32,Return on Assets (ttm),17.92%
33,Return on Equity (ttm),44.56%
34,Revenue (ttm),14.42B
35,Revenue Per Share (ttm),79.62
36,Quarterly Revenue Growth (yoy),1.30%
37,Gross Profit (ttm),12.42B
38,EBITDA,8B
39,Net Income Avi to Common (ttm),5.88B
40,Diluted EPS (ttm),32.40
41,Quarterly Earnings Growth (yoy),-0.70%
42,Total Cash (mrq),3.86B
43,Total Cash Per Share (mrq),23.66
44,Total Debt (mrq),6.37B
45,Total Debt/Equity (mrq),50.77
46,Current Ratio (mrq),1.73
47,Book Value Per Share (mrq),75.00
48,Operating Cash Flow (ttm),7.09B
49,Levered Free Cash Flow (ttm),5.45B
