,Attribute,Value
0,Beta (5Y Monthly),0.92
1,52-Week Change 3,-18.30%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,46.62
4,52 Week Low 3,24.10
5,50-Day Moving Average 3,36.17
6,200-Day Moving Average 3,37.62
7,Avg Vol (3 month) 3,11.32M
8,Avg Vol (10 day) 3,9.5M
9,Shares Outstanding 5,1.43B
10,Float,1.39B
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,95.35%
13,"Shares Short (Jun 14, 2020) 4",18.64M
14,"Short Ratio (Jun 14, 2020) 4",1.5
15,"Short % of Float (Jun 14, 2020) 4",1.31%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.30%
17,"Shares Short (prior month May 14, 2020) 4",11.2M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 05, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,39.75%
31,Operating Margin (ttm),14.97%
32,Return on Assets (ttm),3.74%
33,Return on Equity (ttm),37.22%
34,Revenue (ttm),10.79B
35,Revenue Per Share (ttm),7.74
36,Quarterly Revenue Growth (yoy),2.00%
37,Gross Profit (ttm),7.63B
38,EBITDA,2.67B
39,Net Income Avi to Common (ttm),4.29B
40,Diluted EPS (ttm),3.04
41,Quarterly Earnings Growth (yoy),-97.40%
42,Total Cash (mrq),370M
43,Total Cash Per Share (mrq),0.26
44,Total Debt (mrq),10.6B
45,Total Debt/Equity (mrq),76.82
46,Current Ratio (mrq),1.21
47,Book Value Per Share (mrq),9.86
48,Operating Cash Flow (ttm),1.41B
49,Levered Free Cash Flow (ttm),3.35B
