,Attribute,Value
0,Beta (5Y Monthly),0.78
1,52-Week Change 3,31.94%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,36.49
4,52 Week Low 3,22.83
5,50-Day Moving Average 3,34.16
6,200-Day Moving Average 3,32.02
7,Avg Vol (3 month) 3,3.5M
8,Avg Vol (10 day) 3,2.96M
9,Shares Outstanding 5,487.08M
10,Float,485.99M
11,% Held by Insiders 1,0.32%
12,% Held by Institutions 1,88.03%
13,"Shares Short (Jun 14, 2020) 4",9.66M
14,"Short Ratio (Jun 14, 2020) 4",2.79
15,"Short % of Float (Jun 14, 2020) 4",2.58%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.98%
17,"Shares Short (prior month May 14, 2020) 4",10.16M
18,Forward Annual Dividend Rate 4,0.85
19,Forward Annual Dividend Yield 4,2.39%
20,Trailing Annual Dividend Rate 3,0.85
21,Trailing Annual Dividend Yield 3,2.39%
22,5 Year Average Dividend Yield 4,2.56
23,Payout Ratio 4,49.42%
24,Dividend Date 3,"Jun 02, 2020"
25,Ex-Dividend Date 4,"Apr 28, 2020"
26,Last Split Factor 2,1285:1000
27,Last Split Date 3,"Nov 09, 2016"
28,Fiscal Year Ends,"May 30, 2020"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,7.60%
31,Operating Margin (ttm),16.55%
32,Return on Assets (ttm),5.14%
33,Return on Equity (ttm),10.92%
34,Revenue (ttm),11.05B
35,Revenue Per Share (ttm),22.68
36,Quarterly Revenue Growth (yoy),25.80%
37,Gross Profit (ttm),3.1B
38,EBITDA,2.22B
39,Net Income Avi to Common (ttm),840.1M
40,Diluted EPS (ttm),1.72
41,Quarterly Earnings Growth (yoy),59.20%
42,Total Cash (mrq),553.3M
43,Total Cash Per Share (mrq),1.13
44,Total Debt (mrq),9.75B
45,Total Debt/Equity (mrq),122.60
46,Current Ratio (mrq),0.88
47,Book Value Per Share (mrq),16.31
48,Operating Cash Flow (ttm),1.84B
49,Levered Free Cash Flow (ttm),1.4B
