,Attribute,Value
0,Beta (5Y Monthly),1.10
1,52-Week Change 3,34.27%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,101.79
4,52 Week Low 3,51.39
5,50-Day Moving Average 3,93.29
6,200-Day Moving Average 3,77.56
7,Avg Vol (3 month) 3,2.13M
8,Avg Vol (10 day) 3,1.51M
9,Shares Outstanding 5,279.19M
10,Float,274.98M
11,% Held by Insiders 1,1.42%
12,% Held by Institutions 1,97.13%
13,"Shares Short (Jun 14, 2020) 4",3.86M
14,"Short Ratio (Jun 14, 2020) 4",1.92
15,"Short % of Float (Jun 14, 2020) 4",1.60%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.38%
17,"Shares Short (prior month May 14, 2020) 4",4.07M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 16, 1997"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,41.74%
31,Operating Margin (ttm),21.59%
32,Return on Assets (ttm),10.16%
33,Return on Equity (ttm),56.33%
34,Revenue (ttm),2.38B
35,Revenue Per Share (ttm),8.70
36,Quarterly Revenue Growth (yoy),7.10%
37,Gross Profit (ttm),2.07B
38,EBITDA,639.66M
39,Net Income Avi to Common (ttm),992.41M
40,Diluted EPS (ttm),3.54
41,Quarterly Earnings Growth (yoy),2.80%
42,Total Cash (mrq),946.28M
43,Total Cash Per Share (mrq),3.39
44,Total Debt (mrq),696.2M
45,Total Debt/Equity (mrq),32.26
46,Current Ratio (mrq),1.38
47,Book Value Per Share (mrq),7.73
48,Operating Cash Flow (ttm),761.91M
49,Levered Free Cash Flow (ttm),571.68M
