,Attribute,Value
0,Beta (5Y Monthly),1.10
1,52-Week Change 3,-41.27%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,55.15
4,52 Week Low 3,19.73
5,50-Day Moving Average 3,29.59
6,200-Day Moving Average 3,32.98
7,Avg Vol (3 month) 3,2.62M
8,Avg Vol (10 day) 3,2.04M
9,Shares Outstanding 5,213.8M
10,Float,212.53M
11,% Held by Insiders 1,0.47%
12,% Held by Institutions 1,97.41%
13,"Shares Short (Jun 14, 2020) 4",4.93M
14,"Short Ratio (Jun 14, 2020) 4",1.96
15,"Short % of Float (Jun 14, 2020) 4",3.04%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.31%
17,"Shares Short (prior month May 14, 2020) 4",4.54M
18,Forward Annual Dividend Rate 4,1.2
19,Forward Annual Dividend Yield 4,4.46%
20,Trailing Annual Dividend Rate 3,1.20
21,Trailing Annual Dividend Yield 3,4.46%
22,5 Year Average Dividend Yield 4,3.33
23,Payout Ratio 4,56.07%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,5:1
27,Last Split Date 3,"Jun 17, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.33%
31,Operating Margin (ttm),20.35%
32,Return on Assets (ttm),4.57%
33,Return on Equity (ttm),11.18%
34,Revenue (ttm),4.56B
35,Revenue Per Share (ttm),20.88
36,Quarterly Revenue Growth (yoy),-3.00%
37,Gross Profit (ttm),1.17B
38,EBITDA,1.83B
39,Net Income Avi to Common (ttm),471M
40,Diluted EPS (ttm),2.15
41,Quarterly Earnings Growth (yoy),-24.40%
42,Total Cash (mrq),753M
43,Total Cash Per Share (mrq),3.52
44,Total Debt (mrq),4.75B
45,Total Debt/Equity (mrq),87.90
46,Current Ratio (mrq),1.20
47,Book Value Per Share (mrq),12.76
48,Operating Cash Flow (ttm),1.49B
49,Levered Free Cash Flow (ttm),891.88M
