,Attribute,Value
0,Beta (5Y Monthly),0.70
1,52-Week Change 3,-0.84%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,224.64
4,52 Week Low 3,118.50
5,50-Day Moving Average 3,193.17
6,200-Day Moving Average 3,191.74
7,Avg Vol (3 month) 3,1.71M
8,Avg Vol (10 day) 3,1.84M
9,Shares Outstanding 5,368.98M
10,Float,367.7M
11,% Held by Insiders 1,1.45%
12,% Held by Institutions 1,92.71%
13,"Shares Short (Jun 14, 2020) 4",4.52M
14,"Short Ratio (Jun 14, 2020) 4",2.85
15,"Short % of Float (Jun 14, 2020) 4",1.23%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.23%
17,"Shares Short (prior month May 14, 2020) 4",4.97M
18,Forward Annual Dividend Rate 4,0.04
19,Forward Annual Dividend Yield 4,0.02%
20,Trailing Annual Dividend Rate 3,0.04
21,Trailing Annual Dividend Yield 3,0.02%
22,5 Year Average Dividend Yield 4,0.02
23,Payout Ratio 4,0.31%
24,Dividend Date 3,"Apr 08, 2020"
25,Ex-Dividend Date 4,"Mar 08, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jun 04, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.19%
31,Operating Margin (ttm),5.71%
32,Return on Assets (ttm),3.56%
33,Return on Equity (ttm),11.27%
34,Revenue (ttm),154.17B
35,Revenue Per Share (ttm),412.56
36,Quarterly Revenue Growth (yoy),1.10%
37,Gross Profit (ttm),25.26B
38,EBITDA,11.37B
39,Net Income Avi to Common (ttm),4.92B
40,Diluted EPS (ttm),13.03
41,Quarterly Earnings Growth (yoy),-13.70%
42,Total Cash (mrq),5.42B
43,Total Cash Per Share (mrq),14.7
44,Total Debt (mrq),37.1B
45,Total Debt/Equity (mrq),82.22
46,Current Ratio (mrq),0.76
47,Book Value Per Share (mrq),122.10
48,Operating Cash Flow (ttm),8.18B
49,Levered Free Cash Flow (ttm),2.75B
