,Attribute,Value
0,Beta (5Y Monthly),1.15
1,52-Week Change 3,1.57%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,186.73
4,52 Week Low 3,101.03
5,50-Day Moving Average 3,172.60
6,200-Day Moving Average 3,159.36
7,Avg Vol (3 month) 3,1.31M
8,Avg Vol (10 day) 3,1.08M
9,Shares Outstanding 5,147.53M
10,Float,146.74M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,85.49%
13,"Shares Short (Jun 14, 2020) 4",4.87M
14,"Short Ratio (Jun 14, 2020) 4",3.23
15,"Short % of Float (Jun 14, 2020) 4",3.31%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.30%
17,"Shares Short (prior month May 14, 2020) 4",3.68M
18,Forward Annual Dividend Rate 4,5.24
19,Forward Annual Dividend Yield 4,3.05%
20,Trailing Annual Dividend Rate 3,5.07
21,Trailing Annual Dividend Yield 3,2.95%
22,5 Year Average Dividend Yield 4,2.96
23,Payout Ratio 4,37.06%
24,Dividend Date 3,"Jun 03, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 02, 2008"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,9.34%
31,Operating Margin (ttm),10.59%
32,Return on Assets (ttm),7.49%
33,Return on Equity (ttm),25.40%
34,Revenue (ttm),22.58B
35,Revenue Per Share (ttm),147.16
36,Quarterly Revenue Growth (yoy),-16.50%
37,Gross Profit (ttm),5.98B
38,EBITDA,3.07B
39,Net Income Avi to Common (ttm),2.11B
40,Diluted EPS (ttm),13.68
41,Quarterly Earnings Growth (yoy),-22.90%
42,Total Cash (mrq),2.03B
43,Total Cash Per Share (mrq),13.77
44,Total Debt (mrq),3.84B
45,Total Debt/Equity (mrq),47.83
46,Current Ratio (mrq),1.40
47,Book Value Per Share (mrq),47.94
48,Operating Cash Flow (ttm),3.15B
49,Levered Free Cash Flow (ttm),1.78B
