,Attribute,Value
0,Beta (5Y Monthly),0.90
1,52-Week Change 3,-12.82%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,365.68
4,52 Week Low 3,236.68
5,50-Day Moving Average 3,296.74
6,200-Day Moving Average 3,309.96
7,Avg Vol (3 month) 3,379.01k
8,Avg Vol (10 day) 3,489.4k
9,Shares Outstanding 5,53.33M
10,Float,48.77M
11,% Held by Insiders 1,0.53%
12,% Held by Institutions 1,92.91%
13,"Shares Short (Jun 14, 2020) 4",851.2k
14,"Short Ratio (Jun 14, 2020) 4",2.11
15,"Short % of Float (Jun 14, 2020) 4",2.03%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.60%
17,"Shares Short (prior month May 14, 2020) 4",850.18k
18,Forward Annual Dividend Rate 4,0.06
19,Forward Annual Dividend Yield 4,0.02%
20,Trailing Annual Dividend Rate 3,0.06
21,Trailing Annual Dividend Yield 3,0.02%
22,5 Year Average Dividend Yield 4,0.03
23,Payout Ratio 4,0.87%
24,Dividend Date 3,"Feb 09, 2020"
25,Ex-Dividend Date 4,"Jul 21, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 24, 2002"
28,Fiscal Year Ends,"Oct 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,13.50%
31,Operating Margin (ttm),17.22%
32,Return on Assets (ttm),4.30%
33,Return on Equity (ttm),9.57%
34,Revenue (ttm),2.54B
35,Revenue Per Share (ttm),51.51
36,Quarterly Revenue Growth (yoy),-19.80%
37,Gross Profit (ttm),1.76B
38,EBITDA,718.4M
39,Net Income Avi to Common (ttm),343.2M
40,Diluted EPS (ttm),6.87
41,Quarterly Earnings Growth (yoy),-90.60%
42,Total Cash (mrq),79.8M
43,Total Cash Per Share (mrq),1.62
44,Total Debt (mrq),2.18B
45,Total Debt/Equity (mrq),60.13
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),73.88
48,Operating Cash Flow (ttm),552.1M
49,Levered Free Cash Flow (ttm),135.19M
