,Attribute,Value
0,Beta (5Y Monthly),1.43
1,52-Week Change 3,9.71%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,304.81
4,52 Week Low 3,154.33
5,50-Day Moving Average 3,267.23
6,200-Day Moving Average 3,248.06
7,Avg Vol (3 month) 3,730.74k
8,Avg Vol (10 day) 3,416.83k
9,Shares Outstanding 5,104.05M
10,Float,87.79M
11,% Held by Insiders 1,15.58%
12,% Held by Institutions 1,67.24%
13,"Shares Short (Jun 14, 2020) 4",2.04M
14,"Short Ratio (Jun 14, 2020) 4",2.6
15,"Short % of Float (Jun 14, 2020) 4",2.30%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.96%
17,"Shares Short (prior month May 14, 2020) 4",2.13M
18,Forward Annual Dividend Rate 4,2.55
19,Forward Annual Dividend Yield 4,0.96%
20,Trailing Annual Dividend Rate 3,2.55
21,Trailing Annual Dividend Yield 3,0.96%
22,5 Year Average Dividend Yield 4,1.00
23,Payout Ratio 4,28.91%
24,Dividend Date 3,"Dec 05, 2019"
25,Ex-Dividend Date 4,"Nov 06, 2019"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Mar 07, 2000"
28,Fiscal Year Ends,"May 30, 2019"
29,Most Recent Quarter (mrq),"Feb 28, 2020"
30,Profit Margin,13.19%
31,Operating Margin (ttm),17.50%
32,Return on Assets (ttm),10.36%
33,Return on Equity (ttm),29.46%
34,Revenue (ttm),7.26B
35,Revenue Per Share (ttm),69.57
36,Quarterly Revenue Growth (yoy),7.60%
37,Gross Profit (ttm),3.13B
38,EBITDA,1.64B
39,Net Income Avi to Common (ttm),950.49M
40,Diluted EPS (ttm),8.81
41,Quarterly Earnings Growth (yoy),15.30%
42,Total Cash (mrq),234.44M
43,Total Cash Per Share (mrq),2.25
44,Total Debt (mrq),3.03B
45,Total Debt/Equity (mrq),91.05
46,Current Ratio (mrq),2.34
47,Book Value Per Share (mrq),31.96
48,Operating Cash Flow (ttm),1.33B
49,Levered Free Cash Flow (ttm),910.44M
