,Attribute,Value
0,Beta (5Y Monthly),0.29
1,52-Week Change 3,49.99%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,155.10
4,52 Week Low 3,90.28
5,50-Day Moving Average 3,144.33
6,200-Day Moving Average 3,132.02
7,Avg Vol (3 month) 3,1.83M
8,Avg Vol (10 day) 3,1.06M
9,Shares Outstanding 5,123.45M
10,Float,122.59M
11,% Held by Insiders 1,0.95%
12,% Held by Institutions 1,101.74%
13,"Shares Short (Jun 14, 2020) 4",4.73M
14,"Short Ratio (Jun 14, 2020) 4",2.47
15,"Short % of Float (Jun 14, 2020) 4",5.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.83%
17,"Shares Short (prior month May 14, 2020) 4",4.73M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,0.94%
20,Trailing Annual Dividend Rate 3,1.40
21,Trailing Annual Dividend Yield 3,0.92%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,24.69%
24,Dividend Date 3,"Jun 18, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,12558:10000
27,Last Split Date 3,"Jan 31, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,23.88%
31,Operating Margin (ttm),20.62%
32,Return on Assets (ttm),8.55%
33,Return on Equity (ttm),448.10%
34,Revenue (ttm),3.15B
35,Revenue Per Share (ttm),24.41
36,Quarterly Revenue Growth (yoy),19.70%
37,Gross Profit (ttm),2.6B
38,EBITDA,774.12M
39,Net Income Avi to Common (ttm),752.69M
40,Diluted EPS (ttm),5.70
41,Quarterly Earnings Growth (yoy),64.20%
42,Total Cash (mrq),550.52M
43,Total Cash Per Share (mrq),4.46
44,Total Debt (mrq),1.98B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),0.78
47,Book Value Per Share (mrq),-1.78
48,Operating Cash Flow (ttm),799.75M
49,Levered Free Cash Flow (ttm),759.31M
