,Attribute,Value
0,Beta (5Y Monthly),1.48
1,52-Week Change 3,-27.38%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,74.37
4,52 Week Low 3,28.33
5,50-Day Moving Average 3,52.67
6,200-Day Moving Average 3,48.36
7,Avg Vol (3 month) 3,5.86M
8,Avg Vol (10 day) 3,4.56M
9,Shares Outstanding 5,733.8M
10,Float,731.93M
11,% Held by Insiders 1,0.26%
12,% Held by Institutions 1,74.25%
13,"Shares Short (Jun 14, 2020) 4",19.48M
14,"Short Ratio (Jun 14, 2020) 4",2.95
15,"Short % of Float (Jun 14, 2020) 4",2.66%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.65%
17,"Shares Short (prior month May 14, 2020) 4",20.59M
18,Forward Annual Dividend Rate 4,1.2
19,Forward Annual Dividend Yield 4,2.30%
20,Trailing Annual Dividend Rate 3,1.32
21,Trailing Annual Dividend Yield 3,2.59%
22,5 Year Average Dividend Yield 4,3.17
23,Payout Ratio 4,
24,Dividend Date 3,"Sep 14, 2020"
25,Ex-Dividend Date 4,"Jul 29, 2020"
26,Last Split Factor 2,4725:10000
27,Last Split Date 3,"Jun 02, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-3.00%
31,Operating Margin (ttm),14.36%
32,Return on Assets (ttm),1.48%
33,Return on Equity (ttm),-1.71%
34,Revenue (ttm),21.32B
35,Revenue Per Share (ttm),28.68
36,Quarterly Revenue Growth (yoy),-3.60%
37,Gross Profit (ttm),7.71B
38,EBITDA,4.38B
39,Net Income Avi to Common (ttm),-1.21B
40,Diluted EPS (ttm),-0.86
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.75B
43,Total Cash Per Share (mrq),2.38
44,Total Debt (mrq),18.13B
45,Total Debt/Equity (mrq),45.19
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),53.90
48,Operating Cash Flow (ttm),2.1B
49,Levered Free Cash Flow (ttm),13.39B
