,Attribute,Value
0,Beta (5Y Monthly),0.53
1,52-Week Change 3,32.32%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,194.84
4,52 Week Low 3,125.00
5,50-Day Moving Average 3,188.65
6,200-Day Moving Average 3,168.50
7,Avg Vol (3 month) 3,2.45M
8,Avg Vol (10 day) 3,1.77M
9,Shares Outstanding 5,251.72M
10,Float,250.64M
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,94.96%
13,"Shares Short (Jun 14, 2020) 4",2.8M
14,"Short Ratio (Jun 14, 2020) 4",0.9
15,"Short % of Float (Jun 14, 2020) 4",1.39%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.11%
17,"Shares Short (prior month May 14, 2020) 4",3.31M
18,Forward Annual Dividend Rate 4,1.44
19,Forward Annual Dividend Yield 4,0.76%
20,Trailing Annual Dividend Rate 3,1.32
21,Trailing Annual Dividend Yield 3,0.70%
22,5 Year Average Dividend Yield 4,1.06
23,Payout Ratio 4,17.10%
24,Dividend Date 3,"Jul 20, 2020"
25,Ex-Dividend Date 4,"Jul 05, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jan 30, 2020"
29,Most Recent Quarter (mrq),"Apr 30, 2020"
30,Profit Margin,6.69%
31,Operating Margin (ttm),9.10%
32,Return on Assets (ttm),7.29%
33,Return on Equity (ttm),28.70%
34,Revenue (ttm),29.58B
35,Revenue Per Share (ttm),116.11
36,Quarterly Revenue Growth (yoy),27.60%
37,Gross Profit (ttm),8.49B
38,EBITDA,3.21B
39,Net Income Avi to Common (ttm),1.98B
40,Diluted EPS (ttm),7.71
41,Quarterly Earnings Growth (yoy),68.90%
42,Total Cash (mrq),2.67B
43,Total Cash Per Share (mrq),10.62
44,Total Debt (mrq),12.92B
45,Total Debt/Equity (mrq),179.15
46,Current Ratio (mrq),1.44
47,Book Value Per Share (mrq),28.64
48,Operating Cash Flow (ttm),3.4B
49,Levered Free Cash Flow (ttm),2.14B
