,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,-19.97%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,56.25
4,52 Week Low 3,21.95
5,50-Day Moving Average 3,41.11
6,200-Day Moving Average 3,40.06
7,Avg Vol (3 month) 3,5.7M
8,Avg Vol (10 day) 3,4.12M
9,Shares Outstanding 5,740.73M
10,Float,739.76M
11,% Held by Insiders 1,0.08%
12,% Held by Institutions 1,70.82%
13,"Shares Short (Jun 14, 2020) 4",16.86M
14,"Short Ratio (Jun 14, 2020) 4",3.07
15,"Short % of Float (Jun 14, 2020) 4",2.28%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.28%
17,"Shares Short (prior month May 14, 2020) 4",17.98M
18,Forward Annual Dividend Rate 4,2.8
19,Forward Annual Dividend Yield 4,6.94%
20,Trailing Annual Dividend Rate 3,2.80
21,Trailing Annual Dividend Yield 3,7.10%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-4.01%
31,Operating Margin (ttm),8.84%
32,Return on Assets (ttm),
33,Return on Equity (ttm),-6.86%
34,Revenue (ttm),41.75B
35,Revenue Per Share (ttm),56.36
36,Quarterly Revenue Growth (yoy),-10.90%
37,Gross Profit (ttm),6.37B
38,EBITDA,6.51B
39,Net Income Avi to Common (ttm),-1.68B
40,Diluted EPS (ttm),-2.27
41,Quarterly Earnings Growth (yoy),-57.00%
42,Total Cash (mrq),3.67B
43,Total Cash Per Share (mrq),4.95
44,Total Debt (mrq),20.05B
45,Total Debt/Equity (mrq),148.93
46,Current Ratio (mrq),1.63
47,Book Value Per Share (mrq),17.42
48,Operating Cash Flow (ttm),5.79B
49,Levered Free Cash Flow (ttm),
