,Attribute,Value
0,Beta (5Y Monthly),1.21
1,52-Week Change 3,42.56%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,90.15
4,52 Week Low 3,53.51
5,50-Day Moving Average 3,80.22
6,200-Day Moving Average 3,78.38
7,Avg Vol (3 month) 3,1.16M
8,Avg Vol (10 day) 3,921.45k
9,Shares Outstanding 5,121.8M
10,Float,118.26M
11,% Held by Insiders 1,2.74%
12,% Held by Institutions 1,101.41%
13,"Shares Short (Jun 14, 2020) 4",6.19M
14,"Short Ratio (Jun 14, 2020) 4",4.93
15,"Short % of Float (Jun 14, 2020) 4",7.50%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.09%
17,"Shares Short (prior month May 14, 2020) 4",5.88M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 08, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.85%
31,Operating Margin (ttm),15.88%
32,Return on Assets (ttm),5.67%
33,Return on Equity (ttm),24.08%
34,Revenue (ttm),11.49B
35,Revenue Per Share (ttm),80.43
36,Quarterly Revenue Growth (yoy),3.60%
37,Gross Profit (ttm),3.47B
38,EBITDA,2.45B
39,Net Income Avi to Common (ttm),816.13M
40,Diluted EPS (ttm),6.26
41,Quarterly Earnings Growth (yoy),60.50%
42,Total Cash (mrq),1.39B
43,Total Cash Per Share (mrq),11.42
44,Total Debt (mrq),11.68B
45,Total Debt/Equity (mrq),347.44
46,Current Ratio (mrq),1.81
47,Book Value Per Share (mrq),15.99
48,Operating Cash Flow (ttm),2.83B
49,Levered Free Cash Flow (ttm),5.53B
