,Attribute,Value
0,Beta (5Y Monthly),3.35
1,52-Week Change 3,-63.15%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,28.85
4,52 Week Low 3,4.70
5,50-Day Moving Average 3,12.13
6,200-Day Moving Average 3,14.83
7,Avg Vol (3 month) 3,10.3M
8,Avg Vol (10 day) 3,9.17M
9,Shares Outstanding 5,382.7M
10,Float,379.98M
11,% Held by Insiders 1,0.59%
12,% Held by Institutions 1,85.09%
13,"Shares Short (Jun 14, 2020) 4",6.93M
14,"Short Ratio (Jun 14, 2020) 4",0.59
15,"Short % of Float (Jun 14, 2020) 4",2.07%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.81%
17,"Shares Short (prior month May 14, 2020) 4",11.99M
18,Forward Annual Dividend Rate 4,0.44
19,Forward Annual Dividend Yield 4,4.25%
20,Trailing Annual Dividend Rate 3,0.36
21,Trailing Annual Dividend Yield 3,3.67%
22,5 Year Average Dividend Yield 4,1.57
23,Payout Ratio 4,
24,Dividend Date 3,"Sep 29, 2020"
25,Ex-Dividend Date 4,"Sep 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 15, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-26.56%
31,Operating Margin (ttm),19.22%
32,Return on Assets (ttm),5.74%
33,Return on Equity (ttm),-23.38%
34,Revenue (ttm),6.98B
35,Revenue Per Share (ttm),17.98
36,Quarterly Revenue Growth (yoy),99.30%
37,Gross Profit (ttm),2.23B
38,EBITDA,2.92B
39,Net Income Avi to Common (ttm),-1.4B
40,Diluted EPS (ttm),-4.78
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.53B
43,Total Cash Per Share (mrq),3.99
44,Total Debt (mrq),4.55B
45,Total Debt/Equity (mrq),112.72
46,Current Ratio (mrq),2.61
47,Book Value Per Share (mrq),10.23
48,Operating Cash Flow (ttm),2.09B
49,Levered Free Cash Flow (ttm),-1.05B
