,Attribute,Value
0,Beta (5Y Monthly),2.42
1,52-Week Change 3,-72.81%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,57.23
4,52 Week Low 3,7.90
5,50-Day Moving Average 3,16.18
6,200-Day Moving Average 3,21.31
7,Avg Vol (3 month) 3,5.04M
8,Avg Vol (10 day) 3,3.93M
9,Shares Outstanding 5,254.07M
10,Float,252.13M
11,% Held by Insiders 1,0.62%
12,% Held by Institutions 1,96.32%
13,"Shares Short (Jun 14, 2020) 4",8.22M
14,"Short Ratio (Jun 14, 2020) 4",1.24
15,"Short % of Float (Jun 14, 2020) 4",3.25%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.24%
17,"Shares Short (prior month May 14, 2020) 4",9.25M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.63
21,Trailing Annual Dividend Yield 3,4.16%
22,5 Year Average Dividend Yield 4,1.66
23,Payout Ratio 4,
24,Dividend Date 3,"Apr 13, 2020"
25,Ex-Dividend Date 4,"Mar 23, 2020"
26,Last Split Factor 2,1156:1000
27,Last Split Date 3,"May 31, 2018"
28,Fiscal Year Ends,"Mar 30, 2020"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-27.43%
31,Operating Margin (ttm),8.48%
32,Return on Assets (ttm),3.73%
33,Return on Equity (ttm),-63.58%
34,Revenue (ttm),19.58B
35,Revenue Per Share (ttm),75.71
36,Quarterly Revenue Growth (yoy),-8.80%
37,Gross Profit (ttm),4.68B
38,EBITDA,3.34B
39,Net Income Avi to Common (ttm),-5.37B
40,Diluted EPS (ttm),-20.76
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),3.68B
43,Total Cash Per Share (mrq),14.5
44,Total Debt (mrq),11.49B
45,Total Debt/Equity (mrq),224.08
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),18.87
48,Operating Cash Flow (ttm),2.35B
49,Levered Free Cash Flow (ttm),1.73B
