,Attribute,Value
0,Beta (5Y Monthly),1.67
1,52-Week Change 3,-9.71%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,83.99
4,52 Week Low 3,34.44
5,50-Day Moving Average 3,70.42
6,200-Day Moving Average 3,64.38
7,Avg Vol (3 month) 3,1.34M
8,Avg Vol (10 day) 3,1.03M
9,Shares Outstanding 5,135.89M
10,Float,134.94M
11,% Held by Insiders 1,0.62%
12,% Held by Institutions 1,84.05%
13,"Shares Short (Jun 14, 2020) 4",2.61M
14,"Short Ratio (Jun 14, 2020) 4",1.87
15,"Short % of Float (Jun 14, 2020) 4",2.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.92%
17,"Shares Short (prior month May 14, 2020) 4",3.36M
18,Forward Annual Dividend Rate 4,2.64
19,Forward Annual Dividend Yield 4,3.86%
20,Trailing Annual Dividend Rate 3,2.56
21,Trailing Annual Dividend Yield 3,3.75%
22,5 Year Average Dividend Yield 4,2.72
23,Payout Ratio 4,43.54%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 03, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.85%
31,Operating Margin (ttm),14.07%
32,Return on Assets (ttm),4.89%
33,Return on Equity (ttm),13.43%
34,Revenue (ttm),9.13B
35,Revenue Per Share (ttm),66.84
36,Quarterly Revenue Growth (yoy),-5.80%
37,Gross Profit (ttm),2.23B
38,EBITDA,1.88B
39,Net Income Avi to Common (ttm),808M
40,Diluted EPS (ttm),5.87
41,Quarterly Earnings Growth (yoy),23.40%
42,Total Cash (mrq),697M
43,Total Cash Per Share (mrq),5.13
44,Total Debt (mrq),6.48B
45,Total Debt/Equity (mrq),104.67
46,Current Ratio (mrq),1.66
47,Book Value Per Share (mrq),45.03
48,Operating Cash Flow (ttm),1.68B
49,Levered Free Cash Flow (ttm),1.05B
