,Attribute,Value
0,Beta (5Y Monthly),0.39
1,52-Week Change 3,38.61%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,735.99
4,52 Week Low 3,477.87
5,50-Day Moving Average 3,696.03
6,200-Day Moving Average 3,640.39
7,Avg Vol (3 month) 3,543.01k
8,Avg Vol (10 day) 3,347.13k
9,Shares Outstanding 5,88.51M
10,Float,85.46M
11,% Held by Insiders 1,0.50%
12,% Held by Institutions 1,96.65%
13,"Shares Short (Jun 14, 2020) 4",1.11M
14,"Short Ratio (Jun 14, 2020) 4",2.03
15,"Short % of Float (Jun 14, 2020) 4",1.44%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.25%
17,"Shares Short (prior month May 14, 2020) 4",968.79k
18,Forward Annual Dividend Rate 4,10.64
19,Forward Annual Dividend Yield 4,1.46%
20,Trailing Annual Dividend Rate 3,10.04
21,Trailing Annual Dividend Yield 3,1.38%
22,5 Year Average Dividend Yield 4,1.88
23,Payout Ratio 4,169.31%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,1:32
27,Last Split Date 3,"Dec 30, 2002"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.13%
31,Operating Margin (ttm),18.99%
32,Return on Assets (ttm),2.87%
33,Return on Equity (ttm),5.95%
34,Revenue (ttm),5.56B
35,Revenue Per Share (ttm),65.41
36,Quarterly Revenue Growth (yoy),6.00%
37,Gross Profit (ttm),2.67B
38,EBITDA,2.37B
39,Net Income Avi to Common (ttm),508.16M
40,Diluted EPS (ttm),5.93
41,Quarterly Earnings Growth (yoy),0.60%
42,Total Cash (mrq),1.17B
43,Total Cash Per Share (mrq),13.63
44,Total Debt (mrq),13.08B
45,Total Debt/Equity (mrq),150.87
46,Current Ratio (mrq),1.25
47,Book Value Per Share (mrq),100.89
48,Operating Cash Flow (ttm),2.09B
49,Levered Free Cash Flow (ttm),1.93B
