,Attribute,Value
0,Beta (5Y Monthly),0.43
1,52-Week Change 3,-23.51%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,50.54
4,52 Week Low 3,29.28
5,50-Day Moving Average 3,37.96
6,200-Day Moving Average 3,40.60
7,Avg Vol (3 month) 3,5.97M
8,Avg Vol (10 day) 3,4.45M
9,Shares Outstanding 5,974.41M
10,Float,971.86M
11,% Held by Insiders 1,0.26%
12,% Held by Institutions 1,80.43%
13,"Shares Short (Jun 14, 2020) 4",10.09M
14,"Short Ratio (Jun 14, 2020) 4",1.6
15,"Short % of Float (Jun 14, 2020) 4",1.04%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.04%
17,"Shares Short (prior month May 14, 2020) 4",10.62M
18,Forward Annual Dividend Rate 4,1.53
19,Forward Annual Dividend Yield 4,4.18%
20,Trailing Annual Dividend Rate 3,1.47
21,Trailing Annual Dividend Yield 3,4.02%
22,5 Year Average Dividend Yield 4,3.47
23,Payout Ratio 4,54.85%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 05, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.75%
31,Operating Margin (ttm),13.23%
32,Return on Assets (ttm),2.26%
33,Return on Equity (ttm),7.14%
34,Revenue (ttm),33.71B
35,Revenue Per Share (ttm),34.61
36,Quarterly Revenue Growth (yoy),-7.70%
37,Gross Profit (ttm),10.27B
38,EBITDA,9.47B
39,Net Income Avi to Common (ttm),2.61B
40,Diluted EPS (ttm),2.68
41,Quarterly Earnings Growth (yoy),-35.80%
42,Total Cash (mrq),1.46B
43,Total Cash Per Share (mrq),1.5
44,Total Debt (mrq),40.03B
45,Total Debt/Equity (mrq),115.63
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),33.33
48,Operating Cash Flow (ttm),6.7B
49,Levered Free Cash Flow (ttm),-727.88M
