,Attribute,Value
0,Beta (5Y Monthly),1.09
1,52-Week Change 3,-2.44%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,153.99
4,52 Week Low 3,79.78
5,50-Day Moving Average 3,140.63
6,200-Day Moving Average 3,129.37
7,Avg Vol (3 month) 3,892.92k
8,Avg Vol (10 day) 3,885.5k
9,Shares Outstanding 5,60.9M
10,Float,60.65M
11,% Held by Insiders 1,0.32%
12,% Held by Institutions 1,95.01%
13,"Shares Short (Jun 14, 2020) 4",2.55M
14,"Short Ratio (Jun 14, 2020) 4",3.62
15,"Short % of Float (Jun 14, 2020) 4",4.72%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.19%
17,"Shares Short (prior month May 14, 2020) 4",1.77M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 20, 2007"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.77%
31,Operating Margin (ttm),19.68%
32,Return on Assets (ttm),7.63%
33,Return on Equity (ttm),19.66%
34,Revenue (ttm),2.31B
35,Revenue Per Share (ttm),38.16
36,Quarterly Revenue Growth (yoy),7.10%
37,Gross Profit (ttm),1.89B
38,EBITDA,537.23M
39,Net Income Avi to Common (ttm),340.65M
40,Diluted EPS (ttm),5.61
41,Quarterly Earnings Growth (yoy),-47.10%
42,Total Cash (mrq),821.15M
43,Total Cash Per Share (mrq),13.48
44,Total Debt (mrq),802.44M
45,Total Debt/Equity (mrq),40.16
46,Current Ratio (mrq),1.12
47,Book Value Per Share (mrq),32.96
48,Operating Cash Flow (ttm),682.25M
49,Levered Free Cash Flow (ttm),478.47M
