,Attribute,Value
0,Beta (5Y Monthly),1.57
1,52-Week Change 3,-25.62%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,59.44
4,52 Week Low 3,23.85
5,50-Day Moving Average 3,42.49
6,200-Day Moving Average 3,44.29
7,Avg Vol (3 month) 3,2.23M
8,Avg Vol (10 day) 3,1.46M
9,Shares Outstanding 5,130.84M
10,Float,129.65M
11,% Held by Insiders 1,0.96%
12,% Held by Institutions 1,99.19%
13,"Shares Short (Jun 14, 2020) 4",1.81M
14,"Short Ratio (Jun 14, 2020) 4",1.03
15,"Short % of Float (Jun 14, 2020) 4",1.57%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.38%
17,"Shares Short (prior month May 14, 2020) 4",3.05M
18,Forward Annual Dividend Rate 4,0.68
19,Forward Annual Dividend Yield 4,1.70%
20,Trailing Annual Dividend Rate 3,0.68
21,Trailing Annual Dividend Yield 3,1.70%
22,5 Year Average Dividend Yield 4,1.38
23,Payout Ratio 4,73.91%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 10, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.62%
31,Operating Margin (ttm),14.88%
32,Return on Assets (ttm),5.56%
33,Return on Equity (ttm),6.95%
34,Revenue (ttm),1.89B
35,Revenue Per Share (ttm),14.07
36,Quarterly Revenue Growth (yoy),1.40%
37,Gross Profit (ttm),935.4M
38,EBITDA,392.34M
39,Net Income Avi to Common (ttm),125.27M
40,Diluted EPS (ttm),0.92
41,Quarterly Earnings Growth (yoy),-75.00%
42,Total Cash (mrq),309.16M
43,Total Cash Per Share (mrq),2.36
44,Total Debt (mrq),877.29M
45,Total Debt/Equity (mrq),51.47
46,Current Ratio (mrq),1.92
47,Book Value Per Share (mrq),13.07
48,Operating Cash Flow (ttm),365.73M
49,Levered Free Cash Flow (ttm),323.63M
