,Attribute,Value
0,Beta (5Y Monthly),2.24
1,52-Week Change 3,-72.05%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,28.57
4,52 Week Low 3,4.49
5,50-Day Moving Average 3,7.81
6,200-Day Moving Average 3,11.35
7,Avg Vol (3 month) 3,6.63M
8,Avg Vol (10 day) 3,7.82M
9,Shares Outstanding 5,449.31M
10,Float,421.3M
11,% Held by Insiders 1,0.70%
12,% Held by Institutions 1,90.93%
13,"Shares Short (Jun 14, 2020) 4",9.13M
14,"Short Ratio (Jun 14, 2020) 4",1.01
15,"Short % of Float (Jun 14, 2020) 4",2.05%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.04%
17,"Shares Short (prior month May 14, 2020) 4",9.51M
18,Forward Annual Dividend Rate 4,0.13
19,Forward Annual Dividend Yield 4,1.75%
20,Trailing Annual Dividend Rate 3,0.52
21,Trailing Annual Dividend Yield 3,7.64%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Apr 07, 2020"
25,Ex-Dividend Date 4,"Mar 22, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 16, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-41.77%
31,Operating Margin (ttm),7.56%
32,Return on Assets (ttm),2.83%
33,Return on Equity (ttm),-78.12%
34,Revenue (ttm),13.63B
35,Revenue Per Share (ttm),30.46
36,Quarterly Revenue Growth (yoy),7.50%
37,Gross Profit (ttm),2.46B
38,EBITDA,1.54B
39,Net Income Avi to Common (ttm),-5.69B
40,Diluted EPS (ttm),-12.73
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),5.09B
43,Total Cash Per Share (mrq),11.35
44,Total Debt (mrq),5.3B
45,Total Debt/Equity (mrq),128.52
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),9.05
48,Operating Cash Flow (ttm),755M
49,Levered Free Cash Flow (ttm),515.99M
