,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,-34.86%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,13.26
4,52 Week Low 3,5.48
5,50-Day Moving Average 3,7.08
6,200-Day Moving Average 3,8.69
7,Avg Vol (3 month) 3,113.51M
8,Avg Vol (10 day) 3,69.08M
9,Shares Outstanding 5,8.75B
10,Float,8.73B
11,% Held by Insiders 1,0.13%
12,% Held by Institutions 1,63.61%
13,"Shares Short (Jun 14, 2020) 4",110.8M
14,"Short Ratio (Jun 14, 2020) 4",0.89
15,"Short % of Float (Jun 14, 2020) 4",1.28%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.27%
17,"Shares Short (prior month May 14, 2020) 4",149.79M
18,Forward Annual Dividend Rate 4,0.04
19,Forward Annual Dividend Yield 4,0.61%
20,Trailing Annual Dividend Rate 3,0.04
21,Trailing Annual Dividend Yield 3,0.61%
22,5 Year Average Dividend Yield 4,3.10
23,Payout Ratio 4,6.56%
24,Dividend Date 3,"Jul 26, 2020"
25,Ex-Dividend Date 4,"Jun 25, 2020"
26,Last Split Factor 2,104:100
27,Last Split Date 3,"Feb 25, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-2.53%
31,Operating Margin (ttm),6.01%
32,Return on Assets (ttm),1.22%
33,Return on Equity (ttm),12.59%
34,Revenue (ttm),93.54B
35,Revenue Per Share (ttm),10.71
36,Quarterly Revenue Growth (yoy),-7.60%
37,Gross Profit (ttm),18.81B
38,EBITDA,11.09B
39,Net Income Avi to Common (ttm),5.34B
40,Diluted EPS (ttm),-0.32
41,Quarterly Earnings Growth (yoy),72.80%
42,Total Cash (mrq),31.01B
43,Total Cash Per Share (mrq),3.55
44,Total Debt (mrq),88.22B
45,Total Debt/Equity (mrq),239.35
46,Current Ratio (mrq),1.88
47,Book Value Per Share (mrq),4.03
48,Operating Cash Flow (ttm),8.44B
49,Levered Free Cash Flow (ttm),18.07B
