,Attribute,Value
0,Beta (5Y Monthly),2.57
1,52-Week Change 3,-48.59%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,25.47
4,52 Week Low 3,4.25
5,50-Day Moving Average 3,12.88
6,200-Day Moving Average 3,14.29
7,Avg Vol (3 month) 3,24.94M
8,Avg Vol (10 day) 3,13.64M
9,Shares Outstanding 5,877.28M
10,Float,873.37M
11,% Held by Insiders 1,0.35%
12,% Held by Institutions 1,83.29%
13,"Shares Short (Jun 14, 2020) 4",48.43M
14,"Short Ratio (Jun 14, 2020) 4",1.95
15,"Short % of Float (Jun 14, 2020) 4",6.22%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.52%
17,"Shares Short (prior month May 14, 2020) 4",50.68M
18,Forward Annual Dividend Rate 4,0.18
19,Forward Annual Dividend Yield 4,1.53%
20,Trailing Annual Dividend Rate 3,0.72
21,Trailing Annual Dividend Yield 3,6.11%
22,5 Year Average Dividend Yield 4,2.41
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 23, 2020"
25,Ex-Dividend Date 4,"Jun 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 16, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-10.60%
31,Operating Margin (ttm),7.06%
32,Return on Assets (ttm),3.78%
33,Return on Equity (ttm),-27.88%
34,Revenue (ttm),21.71B
35,Revenue Per Share (ttm),24.77
36,Quarterly Revenue Growth (yoy),-12.20%
37,Gross Profit (ttm),2.29B
38,EBITDA,3.09B
39,Net Income Avi to Common (ttm),-2.3B
40,Diluted EPS (ttm),-2.62
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.38B
43,Total Cash Per Share (mrq),1.58
44,Total Debt (mrq),10.85B
45,Total Debt/Equity (mrq),158.57
46,Current Ratio (mrq),2.11
47,Book Value Per Share (mrq),7.82
48,Operating Cash Flow (ttm),2.71B
49,Levered Free Cash Flow (ttm),1.5B
