,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,-27.45%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,40.89
4,52 Week Low 3,14.31
5,50-Day Moving Average 3,24.59
6,200-Day Moving Average 3,26.26
7,Avg Vol (3 month) 3,4.94M
8,Avg Vol (10 day) 3,3.44M
9,Shares Outstanding 5,153.17M
10,Float,150.23M
11,% Held by Insiders 1,0.38%
12,% Held by Institutions 1,100.24%
13,"Shares Short (Jun 14, 2020) 4",16.96M
14,"Short Ratio (Jun 14, 2020) 4",2.97
15,"Short % of Float (Jun 14, 2020) 4",12.55%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",11.07%
17,"Shares Short (prior month May 14, 2020) 4",22.77M
18,Forward Annual Dividend Rate 4,0.08
19,Forward Annual Dividend Yield 4,0.31%
20,Trailing Annual Dividend Rate 3,1.50
21,Trailing Annual Dividend Yield 3,5.84%
22,5 Year Average Dividend Yield 4,3.41
23,Payout Ratio 4,64.59%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 09, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,6.93%
31,Operating Margin (ttm),10.14%
32,Return on Assets (ttm),3.08%
33,Return on Equity (ttm),20.94%
34,Revenue (ttm),5.28B
35,Revenue Per Share (ttm),33.93
36,Quarterly Revenue Growth (yoy),-6.20%
37,Gross Profit (ttm),1.62B
38,EBITDA,744.31M
39,Net Income Avi to Common (ttm),365.38M
40,Diluted EPS (ttm),2.33
41,Quarterly Earnings Growth (yoy),-45.50%
42,Total Cash (mrq),415.52M
43,Total Cash Per Share (mrq),2.75
44,Total Debt (mrq),8.21B
45,Total Debt/Equity (mrq),485.20
46,Current Ratio (mrq),1.09
47,Book Value Per Share (mrq),11.19
48,Operating Cash Flow (ttm),827.02M
49,Levered Free Cash Flow (ttm),857.82M
