,Attribute,Value
0,Beta (5Y Monthly),1.31
1,52-Week Change 3,-38.10%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,17.59
4,52 Week Low 3,7.43
5,50-Day Moving Average 3,9.87
6,200-Day Moving Average 3,11.46
7,Avg Vol (3 month) 3,11.77M
8,Avg Vol (10 day) 3,9.14M
9,Shares Outstanding 5,1.28B
10,Float,1.28B
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,85.65%
13,"Shares Short (Jun 14, 2020) 4",24.73M
14,"Short Ratio (Jun 14, 2020) 4",1.67
15,"Short % of Float (Jun 14, 2020) 4",2.22%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.92%
17,"Shares Short (prior month May 14, 2020) 4",28.42M
18,Forward Annual Dividend Rate 4,0.48
19,Forward Annual Dividend Yield 4,5.21%
20,Trailing Annual Dividend Rate 3,0.47
21,Trailing Annual Dividend Yield 3,5.18%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,1289:1000
27,Last Split Date 3,"Aug 31, 2017"
28,Fiscal Year Ends,"Oct 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,-0.13%
31,Operating Margin (ttm),8.21%
32,Return on Assets (ttm),2.66%
33,Return on Equity (ttm),-0.20%
34,Revenue (ttm),27.39B
35,Revenue Per Share (ttm),20.93
36,Quarterly Revenue Growth (yoy),-16.00%
37,Gross Profit (ttm),9.5B
38,EBITDA,4.83B
39,Net Income Avi to Common (ttm),-35M
40,Diluted EPS (ttm),-0.03
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),5.14B
43,Total Cash Per Share (mrq),4
44,Total Debt (mrq),17.83B
45,Total Debt/Equity (mrq),109.69
46,Current Ratio (mrq),0.89
47,Book Value Per Share (mrq),12.64
48,Operating Cash Flow (ttm),2.65B
49,Levered Free Cash Flow (ttm),877.88M
