,Attribute,Value
0,Beta (5Y Monthly),1.02
1,52-Week Change 3,-20.42%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,23.93
4,52 Week Low 3,12.54
5,50-Day Moving Average 3,16.70
6,200-Day Moving Average 3,18.06
7,Avg Vol (3 month) 3,15.34M
8,Avg Vol (10 day) 3,12.7M
9,Shares Outstanding 5,1.43B
10,Float,1.43B
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,83.23%
13,"Shares Short (Jun 14, 2020) 4",16.47M
14,"Short Ratio (Jun 14, 2020) 4",0.85
15,"Short % of Float (Jun 14, 2020) 4",1.29%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.15%
17,"Shares Short (prior month May 14, 2020) 4",17.6M
18,Forward Annual Dividend Rate 4,0.7
19,Forward Annual Dividend Yield 4,4.29%
20,Trailing Annual Dividend Rate 3,0.67
21,Trailing Annual Dividend Yield 3,4.10%
22,5 Year Average Dividend Yield 4,3.25
23,Payout Ratio 4,32.98%
24,Dividend Date 3,"Oct 06, 2020"
25,Ex-Dividend Date 4,"Sep 07, 2020"
26,Last Split Factor 2,2202:1000
27,Last Split Date 3,"Nov 01, 2015"
28,Fiscal Year Ends,"Oct 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,5.27%
31,Operating Margin (ttm),7.67%
32,Return on Assets (ttm),8.33%
33,Return on Equity (ttm),
34,Revenue (ttm),57.1B
35,Revenue Per Share (ttm),38.96
36,Quarterly Revenue Growth (yoy),-11.20%
37,Gross Profit (ttm),11.17B
38,EBITDA,5.17B
39,Net Income Avi to Common (ttm),3.01B
40,Diluted EPS (ttm),2.04
41,Quarterly Earnings Growth (yoy),-2.30%
42,Total Cash (mrq),4.05B
43,Total Cash Per Share (mrq),2.84
44,Total Debt (mrq),6.64B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),0.78
47,Book Value Per Share (mrq),-0.52
48,Operating Cash Flow (ttm),3.71B
49,Levered Free Cash Flow (ttm),2.63B
