,Attribute,Value
0,Beta (5Y Monthly),1.20
1,52-Week Change 3,-19.01%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,44.82
4,52 Week Low 3,22.78
5,50-Day Moving Average 3,33.96
6,200-Day Moving Average 3,34.19
7,Avg Vol (3 month) 3,5.6M
8,Avg Vol (10 day) 3,4.36M
9,Shares Outstanding 5,743.86M
10,Float,741.83M
11,% Held by Insiders 1,0.22%
12,% Held by Institutions 1,94.11%
13,"Shares Short (Jun 14, 2020) 4",12.46M
14,"Short Ratio (Jun 14, 2020) 4",2.02
15,"Short % of Float (Jun 14, 2020) 4",1.89%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.68%
17,"Shares Short (prior month May 14, 2020) 4",11.41M
18,Forward Annual Dividend Rate 4,1.04
19,Forward Annual Dividend Yield 4,3.12%
20,Trailing Annual Dividend Rate 3,1.04
21,Trailing Annual Dividend Yield 3,3.12%
22,5 Year Average Dividend Yield 4,2.81
23,Payout Ratio 4,75.91%
24,Dividend Date 3,"Jul 16, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,955:1000
27,Last Split Date 3,"Sep 05, 2016"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,21.80%
31,Operating Margin (ttm),8.05%
32,Return on Assets (ttm),2.69%
33,Return on Equity (ttm),6.47%
34,Revenue (ttm),23.74B
35,Revenue Per Share (ttm),29.85
36,Quarterly Revenue Growth (yoy),-5.80%
37,Gross Profit (ttm),7.69B
38,EBITDA,2.73B
39,Net Income Avi to Common (ttm),1.12B
40,Diluted EPS (ttm),6.48
41,Quarterly Earnings Growth (yoy),-58.60%
42,Total Cash (mrq),1.01B
43,Total Cash Per Share (mrq),1.35
44,Total Debt (mrq),8.16B
45,Total Debt/Equity (mrq),42.76
46,Current Ratio (mrq),1.05
47,Book Value Per Share (mrq),24.31
48,Operating Cash Flow (ttm),1.05B
49,Levered Free Cash Flow (ttm),3.32B
