,Attribute,Value
0,Beta (5Y Monthly),0.50
1,52-Week Change 3,2.87%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,149.23
4,52 Week Low 3,110.66
5,50-Day Moving Average 3,140.36
6,200-Day Moving Average 3,138.40
7,Avg Vol (3 month) 3,1.72M
8,Avg Vol (10 day) 3,1.16M
9,Shares Outstanding 5,340.55M
10,Float,339.3M
11,% Held by Insiders 1,0.34%
12,% Held by Institutions 1,76.42%
13,"Shares Short (Jun 14, 2020) 4",6.08M
14,"Short Ratio (Jun 14, 2020) 4",3.62
15,"Short % of Float (Jun 14, 2020) 4",1.80%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.79%
17,"Shares Short (prior month May 14, 2020) 4",5.76M
18,Forward Annual Dividend Rate 4,4.28
19,Forward Annual Dividend Yield 4,3.01%
20,Trailing Annual Dividend Rate 3,4.16
21,Trailing Annual Dividend Yield 3,2.93%
22,5 Year Average Dividend Yield 4,3.12
23,Payout Ratio 4,60.73%
24,Dividend Date 3,"Jul 01, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,1043:1000
27,Last Split Date 3,"Nov 02, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.55%
31,Operating Margin (ttm),18.27%
32,Return on Assets (ttm),13.92%
33,Return on Equity (ttm),
34,Revenue (ttm),18.83B
35,Revenue Per Share (ttm),54.91
36,Quarterly Revenue Growth (yoy),8.10%
37,Gross Profit (ttm),6.45B
38,EBITDA,4.1B
39,Net Income Avi to Common (ttm),2.36B
40,Diluted EPS (ttm),6.85
41,Quarterly Earnings Growth (yoy),45.40%
42,Total Cash (mrq),979M
43,Total Cash Per Share (mrq),2.88
44,Total Debt (mrq),8.48B
45,Total Debt/Equity (mrq),18428.26
46,Current Ratio (mrq),0.87
47,Book Value Per Share (mrq),-0.49
48,Operating Cash Flow (ttm),3.12B
49,Levered Free Cash Flow (ttm),1.68B
