,Attribute,Value
0,Beta (5Y Monthly),0.54
1,52-Week Change 3,-13.39%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,60.13
4,52 Week Low 3,36.27
5,50-Day Moving Average 3,46.20
6,200-Day Moving Average 3,49.89
7,Avg Vol (3 month) 3,18.16M
8,Avg Vol (10 day) 3,14.81M
9,Shares Outstanding 5,4.29B
10,Float,4.26B
11,% Held by Insiders 1,0.70%
12,% Held by Institutions 1,70.00%
13,"Shares Short (Jun 14, 2020) 4",24.07M
14,"Short Ratio (Jun 14, 2020) 4",1.18
15,"Short % of Float (Jun 14, 2020) 4",0.56%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.56%
17,"Shares Short (prior month May 14, 2020) 4",29.22M
18,Forward Annual Dividend Rate 4,1.64
19,Forward Annual Dividend Yield 4,3.73%
20,Trailing Annual Dividend Rate 3,1.61
21,Trailing Annual Dividend Yield 3,3.67%
22,5 Year Average Dividend Yield 4,3.21
23,Payout Ratio 4,69.40%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 12, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 26, 2020"
30,Profit Margin,26.95%
31,Operating Margin (ttm),28.69%
32,Return on Assets (ttm),7.31%
33,Return on Equity (ttm),50.85%
34,Revenue (ttm),37.17B
35,Revenue Per Share (ttm),8.68
36,Quarterly Revenue Growth (yoy),-1.10%
37,Gross Profit (ttm),22.65B
38,EBITDA,12.12B
39,Net Income Avi to Common (ttm),10.02B
40,Diluted EPS (ttm),2.32
41,Quarterly Earnings Growth (yoy),65.40%
42,Total Cash (mrq),17.68B
43,Total Cash Per Share (mrq),4.12
44,Total Debt (mrq),50.42B
45,Total Debt/Equity (mrq),254.19
46,Current Ratio (mrq),0.87
47,Book Value Per Share (mrq),4.23
48,Operating Cash Flow (ttm),10.24B
49,Levered Free Cash Flow (ttm),12.03B
