,Attribute,Value
0,Beta (5Y Monthly),0.82
1,52-Week Change 3,-5.06%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,96.32
4,52 Week Low 3,39.06
5,50-Day Moving Average 3,64.72
6,200-Day Moving Average 3,71.20
7,Avg Vol (3 month) 3,1.58M
8,Avg Vol (10 day) 3,1.09M
9,Shares Outstanding 5,146.04M
10,Float,145.15M
11,% Held by Insiders 1,0.82%
12,% Held by Institutions 1,89.45%
13,"Shares Short (Jun 14, 2020) 4",7.14M
14,"Short Ratio (Jun 14, 2020) 4",3.24
15,"Short % of Float (Jun 14, 2020) 4",5.53%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.89%
17,"Shares Short (prior month May 14, 2020) 4",6.28M
18,Forward Annual Dividend Rate 4,0.92
19,Forward Annual Dividend Yield 4,1.49%
20,Trailing Annual Dividend Rate 3,0.83
21,Trailing Annual Dividend Yield 3,1.38%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,25.46%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"May 25, 2019"
29,Most Recent Quarter (mrq),"Feb 22, 2020"
30,Profit Margin,12.10%
31,Operating Margin (ttm),17.15%
32,Return on Assets (ttm),12.87%
33,Return on Equity (ttm),446.22%
34,Revenue (ttm),3.95B
35,Revenue Per Share (ttm),27.00
36,Quarterly Revenue Growth (yoy),1.10%
37,Gross Profit (ttm),1B
38,EBITDA,853.6M
39,Net Income Avi to Common (ttm),478.5M
40,Diluted EPS (ttm),3.26
41,Quarterly Earnings Growth (yoy),-21.20%
42,Total Cash (mrq),30.1M
43,Total Cash Per Share (mrq),0.21
44,Total Debt (mrq),2.43B
45,Total Debt/Equity (mrq),898.00
46,Current Ratio (mrq),1.85
47,Book Value Per Share (mrq),1.85
48,Operating Cash Flow (ttm),672.2M
49,Levered Free Cash Flow (ttm),310.32M
