,Attribute,Value
0,Beta (5Y Monthly),0.62
1,52-Week Change 3,-5.96%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,59.96
4,52 Week Low 3,41.19
5,50-Day Moving Average 3,51.61
6,200-Day Moving Average 3,52.75
7,Avg Vol (3 month) 3,6.72M
8,Avg Vol (10 day) 3,4.83M
9,Shares Outstanding 5,1.43B
10,Float,1.43B
11,% Held by Insiders 1,
12,% Held by Institutions 1,
13,"Shares Short (Jun 14, 2020) 4",9.73M
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",0.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.68%
17,"Shares Short (prior month May 14, 2020) 4",11.96M
18,Forward Annual Dividend Rate 4,1.14
19,Forward Annual Dividend Yield 4,2.27%
20,Trailing Annual Dividend Rate 3,1.12
21,Trailing Annual Dividend Yield 3,2.22%
22,5 Year Average Dividend Yield 4,1.83
23,Payout Ratio 4,43.90%
24,Dividend Date 3,"Jul 13, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.25%
31,Operating Margin (ttm),15.71%
32,Return on Assets (ttm),4.00%
33,Return on Equity (ttm),14.42%
34,Revenue (ttm),26.04B
35,Revenue Per Share (ttm),18.07
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),10.34B
38,EBITDA,5.14B
39,Net Income Avi to Common (ttm),3.71B
40,Diluted EPS (ttm),2.54
41,Quarterly Earnings Growth (yoy),-17.60%
42,Total Cash (mrq),2B
43,Total Cash Per Share (mrq),1.4
44,Total Debt (mrq),20.24B
45,Total Debt/Equity (mrq),78.58
46,Current Ratio (mrq),0.53
47,Book Value Per Share (mrq),17.99
48,Operating Cash Flow (ttm),3.78B
49,Levered Free Cash Flow (ttm),2.65B
