,Attribute,Value
0,Beta (5Y Monthly),0.99
1,52-Week Change 3,-11.57%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,187.72
4,52 Week Low 3,114.04
5,50-Day Moving Average 3,157.47
6,200-Day Moving Average 3,154.70
7,Avg Vol (3 month) 3,3.47M
8,Avg Vol (10 day) 3,1.91M
9,Shares Outstanding 5,575.2M
10,Float,574.51M
11,% Held by Insiders 1,0.18%
12,% Held by Institutions 1,69.95%
13,"Shares Short (Jun 14, 2020) 4",6.09M
14,"Short Ratio (Jun 14, 2020) 4",1.4
15,"Short % of Float (Jun 14, 2020) 4",1.06%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.06%
17,"Shares Short (prior month May 14, 2020) 4",8.29M
18,Forward Annual Dividend Rate 4,5.88
19,Forward Annual Dividend Yield 4,3.88%
20,Trailing Annual Dividend Rate 3,5.79
21,Trailing Annual Dividend Yield 3,3.82%
22,5 Year Average Dividend Yield 4,2.72
23,Payout Ratio 4,67.96%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 29, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,15.37%
31,Operating Margin (ttm),21.95%
32,Return on Assets (ttm),10.40%
33,Return on Equity (ttm),49.92%
34,Revenue (ttm),32.35B
35,Revenue Per Share (ttm),56.08
36,Quarterly Revenue Growth (yoy),2.70%
37,Gross Profit (ttm),15.4B
38,EBITDA,8.76B
39,Net Income Avi to Common (ttm),4.97B
40,Diluted EPS (ttm),8.52
41,Quarterly Earnings Growth (yoy),45.00%
42,Total Cash (mrq),4.48B
43,Total Cash Per Share (mrq),7.78
44,Total Debt (mrq),23.34B
45,Total Debt/Equity (mrq),228.64
46,Current Ratio (mrq),1.65
47,Book Value Per Share (mrq),17.64
48,Operating Cash Flow (ttm),7.23B
49,Levered Free Cash Flow (ttm),4.3B
