,Attribute,Value
0,Beta (5Y Monthly),1.05
1,52-Week Change 3,9.79%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,73.43
4,52 Week Low 3,50.06
5,50-Day Moving Average 3,70.22
6,200-Day Moving Average 3,65.06
7,Avg Vol (3 month) 3,2.32M
8,Avg Vol (10 day) 3,1.82M
9,Shares Outstanding 5,526.56M
10,Float,374.33M
11,% Held by Insiders 1,9.91%
12,% Held by Institutions 1,69.40%
13,"Shares Short (Jun 14, 2020) 4",6.91M
14,"Short Ratio (Jun 14, 2020) 4",2.93
15,"Short % of Float (Jun 14, 2020) 4",1.86%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.31%
17,"Shares Short (prior month May 14, 2020) 4",8.01M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Nov 09, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,26.06%
31,Operating Margin (ttm),33.82%
32,Return on Assets (ttm),19.14%
33,Return on Equity (ttm),29.73%
34,Revenue (ttm),4.32B
35,Revenue Per Share (ttm),7.99
36,Quarterly Revenue Growth (yoy),12.30%
37,Gross Profit (ttm),2.52B
38,EBITDA,1.53B
39,Net Income Avi to Common (ttm),1.13B
40,Diluted EPS (ttm),2.07
41,Quarterly Earnings Growth (yoy),6.60%
42,Total Cash (mrq),935.35M
43,Total Cash Per Share (mrq),1.78
44,Total Debt (mrq),30.32M
45,Total Debt/Equity (mrq),0.78
46,Current Ratio (mrq),2.92
47,Book Value Per Share (mrq),7.35
48,Operating Cash Flow (ttm),1.18B
49,Levered Free Cash Flow (ttm),914.88M
