,Attribute,Value
0,Beta (5Y Monthly),1.71
1,52-Week Change 3,-47.37%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,25.71
4,52 Week Low 3,6.50
5,50-Day Moving Average 3,12.94
6,200-Day Moving Average 3,14.56
7,Avg Vol (3 month) 3,4.58M
8,Avg Vol (10 day) 3,4.27M
9,Shares Outstanding 5,379.02M
10,Float,343.7M
11,% Held by Insiders 1,9.50%
12,% Held by Institutions 1,81.23%
13,"Shares Short (Jun 14, 2020) 4",8.71M
14,"Short Ratio (Jun 14, 2020) 4",1.87
15,"Short % of Float (Jun 14, 2020) 4",2.85%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.30%
17,"Shares Short (prior month May 14, 2020) 4",12.35M
18,Forward Annual Dividend Rate 4,0.2
19,Forward Annual Dividend Yield 4,1.71%
20,Trailing Annual Dividend Rate 3,0.20
21,Trailing Annual Dividend Yield 3,1.71%
22,5 Year Average Dividend Yield 4,2.34
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"Jun 02, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 30, 1995"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-15.91%
31,Operating Margin (ttm),2.07%
32,Return on Assets (ttm),0.58%
33,Return on Equity (ttm),-14.71%
34,Revenue (ttm),8.8B
35,Revenue Per Share (ttm),23.04
36,Quarterly Revenue Growth (yoy),-5.30%
37,Gross Profit (ttm),897.3M
38,EBITDA,1.11B
39,Net Income Avi to Common (ttm),-1.4B
40,Diluted EPS (ttm),-3.67
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.07B
43,Total Cash Per Share (mrq),2.82
44,Total Debt (mrq),5.76B
45,Total Debt/Equity (mrq),67.30
46,Current Ratio (mrq),1.29
47,Book Value Per Share (mrq),22.13
48,Operating Cash Flow (ttm),1.46B
49,Levered Free Cash Flow (ttm),341.58M
