,Attribute,Value
0,Beta (5Y Monthly),1.49
1,52-Week Change 3,12.09%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,57.57
4,52 Week Low 3,27.20
5,50-Day Moving Average 3,47.41
6,200-Day Moving Average 3,44.91
7,Avg Vol (3 month) 3,13.19M
8,Avg Vol (10 day) 3,10.28M
9,Shares Outstanding 5,1.58B
10,Float,1.12B
11,% Held by Insiders 1,24.24%
12,% Held by Institutions 1,62.93%
13,"Shares Short (Jun 14, 2020) 4",61.73M
14,"Short Ratio (Jun 14, 2020) 4",4.46
15,"Short % of Float (Jun 14, 2020) 4",5.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.92%
17,"Shares Short (prior month May 14, 2020) 4",59.01M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,2.95%
20,Trailing Annual Dividend Rate 3,1.40
21,Trailing Annual Dividend Yield 3,2.95%
22,5 Year Average Dividend Yield 4,2.23
23,Payout Ratio 4,28.07%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 26, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,20.46%
31,Operating Margin (ttm),32.71%
32,Return on Assets (ttm),0.94%
33,Return on Equity (ttm),10.11%
34,Revenue (ttm),40.62B
35,Revenue Per Share (ttm),25.53
36,Quarterly Revenue Growth (yoy),-7.80%
37,Gross Profit (ttm),36.73B
38,EBITDA,
39,Net Income Avi to Common (ttm),7.77B
40,Diluted EPS (ttm),4.81
41,Quarterly Earnings Growth (yoy),-30.10%
42,Total Cash (mrq),580.46B
43,Total Cash Per Share (mrq),368.39
44,Total Debt (mrq),306.23B
45,Total Debt/Equity (mrq),351.07
46,Current Ratio (mrq),1.85
47,Book Value Per Share (mrq),49.09
48,Operating Cash Flow (ttm),47.57B
49,Levered Free Cash Flow (ttm),
